"","acs_occ_code","label","OCC2010_cps","major_cat","OCC2010_desc","OCC2010","SOC2010","SOC_major","SOC_minor","SOC_broad"
"50",860,"insurance underwriters",860,NA,"Insurance underwriters",860,"13-2053","13","13-2000","13-2050"
"51",900,"financial examiners",900,NA,"Financial examiners",900,"13-2061","13","13-2000","13-2060"
"52",910,"credit counselors and loan officers",910,NA,"Credit counselors and loan officers",910,"13-2070","13","13-2000","13-2070"
"53",930,"tax examiners and collectors, and revenue agents",930,NA,"Tax examiners and collectors, and revenue agents",930,"13-2081","13","13-2000","13-2080"
"54",940,"tax preparers",940,NA,"Tax preparers",940,"13-2082","13","13-2000","13-2080"
"55",950,"financial specialists, all other",950,NA,"Financial specialists, all other",950,"13-2099","13","13-2000","13-2090"
"56",1005,"computer and information research scientists",1000,NA,"Computer and information research scientists",1005,"15-1111","15","15-1000","15-1110"
"57",1006,"computer systems analysts",1000,NA,"Computer systems analysts",1006,"15-1121","15","15-1000","15-1120"
"58",1007,"information security analysts",1000,NA,"Information security analysts",1007,"15-1122","15","15-1000","15-1120"
"59",1010,"computer programmers",1010,NA,"Computer programmers",1010,"15-1131","15","15-1000","15-1130"
"60",1020,"software developers, applications and systems software",1020,NA,"Software developers, applications and systems software",1020,"15-113X","15","15-1000","15-1130"
"61",1030,"web developers",1020,NA,"Web developers",1030,"15-1134","15","15-1000","15-1130"
"62",1050,"computer support specialists",1050,NA,"Computer support specialists",1050,"15-1150","15","15-1000","15-1150"
"63",1060,"database administrators",1060,NA,"Database administrators",1060,"15-1141","15","15-1000","15-1140"
"64",1105,"network and computer systems administrators",1100,NA,"Network and computer systems administrators",1105,"15-1142","15","15-1000","15-1140"
"65",1106,"computer network architects ",1100,NA,"Computer network architects",1106,"15-1143","15","15-1000","15-1140"
"66",1107,"computer occupations, all other",1100,NA,"Computer occupations, all other",1107,"15-1199","15","15-1000","15-1190"
"67",1200,"actuaries",1200,NA,"Actuaries",1200,"15-2011","15","15-2000","15-2010"
"68",1220,"operations research analysts",1220,NA,"Operations research analysts",1220,"15-2031","15","15-2000","15-2030"
"69",1240,"miscellaneous mathematical science occupations, including mathematicians and statisticians",1240,NA,"Miscellaneous mathematical science occupations",1240,"15-2090","15","15-2000","15-2090"
"70",1300,"architects, except naval",1300,NA,"Architects, except naval",1300,"17-1010","17","17-1000","17-1010"
"71",1310,"surveyors, cartographers, and photogrammetrists",1310,NA,"Surveyors, cartographers, and photogrammetrists",1310,"17-1020","17","17-1000","17-1020"
"72",1320,"aerospace engineers",1320,NA,"Aerospace engineers",1320,"17-2011","17","17-2000","17-2010"
"73",1340,"biomedical and agricultural engineers",1320,NA,"Biomedical engineers",1340,"17-2031","17","17-2000","17-2030"
"74",1350,"chemical engineers",1350,NA,"Chemical engineers",1350,"17-2041","17","17-2000","17-2040"
"75",1360,"civil engineers",1360,NA,"Civil engineers",1360,"17-2051","17","17-2000","17-2050"
"76",1400,"computer hardware engineers",1400,NA,"Computer hardware engineers",1400,"17-2061","17","17-2000","17-2060"
"77",1410,"electrical and electronics engineers",1410,NA,"Electrical and electronics engineers",1410,"17-2070","17","17-2000","17-2070"
"78",1420,"environmental engineers",1420,NA,"Environmental engineers",1420,"17-2081","17","17-2000","17-2080"
"79",1430,"industrial engineers, including health and safety",1430,NA,"Industrial engineers, including health and safety",1430,"17-2110","17","17-2000","17-2110"
"80",1440,"marine engineers and naval architects",1440,NA,"Marine engineers and naval architects",1440,"17-2121","17","17-2000","17-2120"
"81",1450,"materials engineers",1450,NA,"Materials engineers",1450,"17-2131","17","17-2000","17-2130"
"82",1460,"mechanical engineers",1460,NA,"Mechanical engineers",1460,"17-2141","17","17-2000","17-2140"
"83",1520,"petroleum, mining and geological engineers, including mining safety engineers",1520,NA,"Petroleum engineers",1520,"17-2171","17","17-2000","17-2170"
"84",1530,"miscellaneous engineers, including nuclear engineers",1530,NA,"Engineers, all other",1530,"17-2199","17","17-2000","17-2190"
"85",1540,"drafters",1540,NA,"Drafters",1540,"17-3010","17","17-3000","17-3010"
"86",1550,"engineering technicians, except drafters",1550,NA,"Engineering technicians, except drafters",1550,"17-3020","17","17-3000","17-3020"
"87",1560,"surveying and mapping technicians",1560,NA,"Surveying and mapping technicians",1560,"17-3031","17","17-3000","17-3030"
"88",1600,"agricultural and food scientists",1600,NA,"Agricultural and food scientists",1600,"19-1010","19","19-1000","19-1010"
"89",1610,"biological scientists",1610,NA,"Biological scientists",1610,"19-1020","19","19-1000","19-1020"
"90",1640,"conservation scientists and foresters",1640,NA,"Conservation scientists and foresters",1640,"19-1030","19","19-1000","19-1030"
"91",1650,"medical scientists, and life scientists, all other",1650,NA,"Medical scientists",1650,"19-1040","19","19-1000","19-1040"
"92",1700,"astronomers and physicists",1700,NA,"Astronomers and physicists",1700,"19-2010","19","19-2000","19-2010"
"93",1710,"atmospheric and space scientists",1710,NA,"Atmospheric and space scientists",1710,"19-2021","19","19-2000","19-2020"
"94",1720,"chemists and materials scientists",1720,NA,"Chemists and materials scientists",1720,"19-2030","19","19-2000","19-2030"
"95",1740,"environmental scientists and geoscientists",1740,NA,"Environmental scientists and geoscientists",1740,"19-2040","19","19-2000","19-2040"
"96",1760,"physical scientists, all other",1760,NA,"Physical scientists, all other",1760,"19-2099","19","19-2000","19-2090"
"97",1800,"economists",1800,NA,"Economists",1800,"19-3011","19","19-3000","19-3010"
"98",1820,"psychologists",1820,NA,"Psychologists",1820,"19-3030","19","19-3000","19-3030"
"99",1840,"urban and regional planners",1840,NA,"Urban and regional planners",1840,"19-3051","19","19-3000","19-3050"
"100",1860,"miscellaneous social scientists, including survey researchers and sociologists",1840,NA,"Miscellaneous social scientists and related workers",1860,"19-3090","19","19-3000","19-3090"
"101",1900,"agricultural and food science technicians",1900,NA,"Agricultural and food science technicians",1900,"19-4011","19","19-4000","19-4010"
"102",1910,"biological technicians",1910,NA,"Biological technicians",1910,"19-4021","19","19-4000","19-4020"
"103",1920,"chemical technicians",1920,NA,"Chemical technicians",1920,"19-4031","19","19-4000","19-4030"
"104",1930,"geological and petroleum technicians, and nuclear technicians",1930,NA,"Geological and petroleum technicians",1930,"19-4041","19","19-4000","19-4040"
"105",1965,"miscellaneous life, physical, and social science technicians, including social science research assistants",1960,NA,"Miscellaneous life, physical, and social science technicians",1965,"19-4090","19","19-4000","19-4090"
"106",2000,"counselors",2000,NA,"Counselors",2000,"21-1010","21","21-1000","21-1010"
"107",2010,"social workers",2010,NA,"Social workers",2010,"21-1020","21","21-1000","21-1020"
"108",2015,"probation officers and correctional treatment specialists",2010,NA,"Probation officers and correctional treatment specialists",2015,"21-1092","21","21-1000","21-1090"
"109",2016,"social and human service assistants",2010,NA,"Social and human service assistants",2016,"21-1093","21","21-1000","21-1090"
"110",2025,"miscellaneous community and social service specialists, including health educators and community health workers",2020,NA,"Miscellaneous community and social service specialists, including health educators and community health workers",2025,"21-109X","21","21-1000","21-1090"
"111",2040,"clergy",2040,NA,"Clergy",2040,"21-2011","21","21-2000","21-2010"
"112",2050,"directors, religious activities and education",2050,NA,"Directors, religious activities and education",2050,"21-2021","21","21-2000","21-2020"
"113",2100,"lawyers, and judges, magistrates, and other judicial workers",2100,NA,"Lawyers",2100,"23-1011","23","23-1000","23-1010"
"114",2105,"judicial law clerks",2100,NA,"Judicial law clerks",2105,"23-1012","23","23-1000","23-1010"
"115",2145,"paralegals and legal assistants",2140,NA,"Paralegals and legal assistants",2145,"23-2011","23","23-2000","23-2010"
"116",2160,"miscellaneous legal support workers",2150,NA,"Miscellaneous legal support workers",2160,"23-2090","23","23-2000","23-2090"
"117",2200,"postsecondary teachers",2200,NA,"Postsecondary teachers",2200,"25-1000","25","25-1000","25-1000"
"118",2300,"preschool and kindergarten teachers",2300,NA,"Preschool and kindergarten teachers",2300,"25-2010","25","25-2000","25-2010"
"119",2310,"elementary and middle school teachers",2310,NA,"Elementary and middle school teachers",2310,"25-2020","25","25-2000","25-2020"
"120",2320,"secondary school teachers",2320,NA,"Secondary school teachers",2320,"25-2030","25","25-2000","25-2030"
"121",2330,"special education teachers",2330,NA,"Special education teachers",2330,"25-2050","25","25-2000","25-2050"
"122",2340,"other teachers and instructors",2340,NA,"Other teachers and instructors",2340,"25-3000","25","25-3000","25-3000"
"123",2400,"archivists, curators, and museum technicians",2400,NA,"Archivists, curators, and museum technicians",2400,"25-4010","25","25-4000","25-4010"
"124",2430,"librarians",2430,NA,"Librarians",2430,"25-4021","25","25-4000","25-4020"
"125",2440,"library technicians",2440,NA,"Library technicians",2440,"25-4031","25","25-4000","25-4030"
"126",2540,"teacher assistants",2540,NA,"Teacher assistants",2540,"25-9041","25","25-9000","25-9040"
"127",2550,"other education, training, and library workers",2550,NA,"Other education, training, and library workers",2550,"25-90XX","25","25-9000","25-90X0"
"128",2600,"artists and related workers",2600,NA,"Artists and related workers",2600,"27-1010","27","27-1000","27-1010"
"129",2630,"designers",2630,NA,"Designers",2630,"27-1020","27","27-1000","27-1020"
"130",2700,"actors",2700,NA,"Actors",2700,"27-2011","27","27-2000","27-2010"
"131",2710,"producers and directors",2700,NA,"Producers and directors",2710,"27-2012","27","27-2000","27-2010"
"132",2720,"athletes, coaches, umpires, and related workers",2720,NA,"Athletes, coaches, umpires, and related workers",2720,"27-2020","27","27-2000","27-2020"
"133",2740,"dancers and choreographers",2740,NA,"Dancers and choreographers",2740,"27-2030","27","27-2000","27-2030"
"134",2750,"musicians, singers, and related workers",2750,NA,"Musicians, singers, and related workers",2750,"27-2040","27","27-2000","27-2040"
"135",2800,"announcers",2800,NA,"Announcers",2800,"27-3010","27","27-3000","27-3010"
"136",2810,"news analysts, reporters and correspondents",2810,NA,"News analysts, reporters and correspondents",2810,"27-3020","27","27-3000","27-3020"
"137",2825,"public relations specialists",2825,NA,"Public relations specialists",2825,"27-3031","27","27-3000","27-3030"
"138",2830,"editors",2825,NA,"Editors",2830,"27-3041","27","27-3000","27-3040"
"139",2840,"technical writers",2840,NA,"Technical writers",2840,"27-3042","27","27-3000","27-3040"
"140",2850,"writers and authors",2850,NA,"Writers and authors",2850,"27-3043","27","27-3000","27-3040"
"141",2860,"miscellaneous media and communication workers",2860,NA,"Miscellaneous media and communication workers",2860,"27-3090","27","27-3000","27-3090"
"142",2900,"broadcast and sound engineering technicians and radio operators, and media and communication equipment workers, all other",2900,NA,"Broadcast and sound engineering technicians and radio operators",2900,"27-4010","27","27-4000","27-4010"
"143",2910,"photographers",2910,NA,"Photographers",2910,"27-4021","27","27-4000","27-4020"
"144",2920,"television, video, and motion picture camera operators and editors",2920,NA,"Television, video, and motion picture camera operators and editors",2920,"27-4030","27","27-4000","27-4030"
"145",3000,"chiropractors",3000,NA,"Chiropractors",3000,"29-1011","29","29-1000","29-1010"
"146",3010,"dentists",3010,NA,"Dentists",3010,"29-1020","29","29-1000","29-1020"
"147",3030,"dietitians and nutritionists",3030,NA,"Dietitians and nutritionists",3030,"29-1031","29","29-1000","29-1030"
"148",3040,"optometrists",3040,NA,"Optometrists",3040,"29-1041","29","29-1000","29-1040"
"149",3050,"pharmacists",3050,NA,"Pharmacists",3050,"29-1051","29","29-1000","29-1050"
"150",3060,"physicians and surgeons",3060,NA,"Physicians and surgeons",3060,"29-1060","29","29-1000","29-1060"
"151",3110,"physician assistants",3110,NA,"Physician assistants",3110,"29-1071","29","29-1000","29-1070"
"152",3120,"podiatrists",3120,NA,"Podiatrists",3120,"29-1081","29","29-1000","29-1080"
"153",3140,"audiologists",3140,NA,"Audiologists",3140,"29-1181","29","29-1000","29-1180"
"154",3150,"occupational therapists",3150,NA,"Occupational therapists",3150,"29-1122","29","29-1000","29-1120"
"155",3160,"physical therapists",3160,NA,"Physical therapists",3160,"29-1123","29","29-1000","29-1120"
"156",3200,"radiation therapists",3200,NA,"Radiation therapists",3200,"29-1124","29","29-1000","29-1120"
"157",3210,"recreational therapists",3210,NA,"Recreational therapists",3210,"29-1125","29","29-1000","29-1120"
"158",3220,"respiratory therapists",3220,NA,"Respiratory therapists",3220,"29-1126","29","29-1000","29-1120"
"159",3230,"speech-language pathologists",3230,NA,"Speech-language pathologists",3230,"29-1127","29","29-1000","29-1120"
"160",3245,"other therapists, including exercise physiologists",3240,NA,"Therapists, all other",3245,"29-1129","29","29-1000","29-1120"
"161",3250,"veterinarians",3250,NA,"Veterinarians",3250,"29-1131","29","29-1000","29-1130"
"162",3255,"registered nurses",3250,NA,"Registered nurses",3255,"29-1141","29","29-1000","29-1140"
"163",3256,"nurse anesthetists",3250,NA,"Nurse anesthetists",3256,"29-1151","29","29-1000","29-1150"
"164",3258,"nurse practitioners and nurse midwives",3250,NA,"Nurse practitioners",3258,"29-1171","29","29-1000","29-1170"
"165",3260,"health diagnosing and treating practitioners, all other",3260,NA,"Health diagnosing and treating practitioners, all other",3260,"29-1199","29","29-1000","29-1190"
"166",3300,"clinical laboratory technologists and technicians",3300,NA,"Clinical laboratory technologists and technicians",3300,"29-2010","29","29-2000","29-2010"
"167",3310,"dental hygienists",3310,NA,"Dental hygienists",3310,"29-2021","29","29-2000","29-2020"
"168",3320,"diagnostic related technologists and technicians",3320,NA,"Diagnostic related technologists and technicians",3320,"29-2030","29","29-2000","29-2030"
"169",3400,"emergency medical technicians and paramedics",3400,NA,"Emergency medical technicians and paramedics",3400,"29-2041","29","29-2000","29-2040"
"170",3420,"health practitioner support technologists and technicians",3410,NA,"Health practitioner support technologists and technicians",3420,"29-2050","29","29-2000","29-2050"
"171",3500,"licensed practical and licensed vocational nurses",3500,NA,"Licensed practical and licensed vocational nurses",3500,"29-2061","29","29-2000","29-2060"
"172",3510,"medical records and health information technicians",3510,NA,"Medical records and health information technicians",3510,"29-2071","29","29-2000","29-2070"
"173",3520,"opticians, dispensing",3520,NA,"Opticians, dispensing",3520,"29-2081","29","29-2000","29-2080"
"174",3535,"miscellaneous health technologists and technicians",3530,NA,"Miscellaneous health technologists and technicians",3535,"29-2090","29","29-2000","29-2090"
"175",3540,"other healthcare practitioners and technical occupations",3540,NA,"Other healthcare practitioners and technical occupations",3540,"29-9000","29","29-9000","29-9000"
"176",3600,"nursing, psychiatric, and home health aides",3600,NA,"Nursing, psychiatric, and home health aides",3600,"31-1010","31","31-1000","31-1010"
"177",3610,"occupational therapy assistants and aides",3610,NA,"Occupational therapy assistants and aides",3610,"31-2010","31","31-2000","31-2010"
"178",3620,"physical therapist assistants and aides",3620,NA,"Physical therapist assistants and aides",3620,"31-2020","31","31-2000","31-2020"
"179",3630,"massage therapists",3630,NA,"Massage therapists",3630,"31-9011","31","31-9000","31-9010"
"180",3640,"dental assistants",3640,NA,"Dental assistants",3640,"31-9091","31","31-9000","31-9090"
"181",3645,"medical assistants",3640,NA,"Medical assistants",3645,"31-9092","31","31-9000","31-9090"
"182",3646,"medical transcriptionists",3640,NA,"Medical transcriptionists",3646,"31-9094","31","31-9000","31-9090"
"183",3647,"pharmacy aides",3640,NA,"Pharmacy aides",3647,"31-9095","31","31-9000","31-9090"
"184",3648,"veterinary assistants and laboratory animal caretakers",3640,NA,"Veterinary assistants and laboratory animal caretakers",3648,"31-9096","31","31-9000","31-9090"
"185",3649,"phlebotomists",3640,NA,"Phlebotomists",3649,"31-9097","31","31-9000","31-9090"
"186",3655,"healthcare support workers, all other, including medical equipment preparers",3650,NA,"Healthcare support workers, all other, including medical equipment preparers",3655,"31-909X","31","31-9000","31-9090"
"187",3700,"first-line supervisors of correctional officers",3700,NA,"First-line supervisors of correctional officers",3700,"33-1011","33","33-1000","33-1010"
"188",3710,"first-line supervisors of police and detectives",3710,NA,"First-line supervisors of police and detectives",3710,"33-1012","33","33-1000","33-1010"
"189",3720,"first-line supervisors of fire fighting and prevention workers",3720,NA,"First-line supervisors of fire fighting and prevention workers",3720,"33-1021","33","33-1000","33-1020"
"190",3740,"firefighters",3740,NA,"Firefighters",3740,"33-2011","33","33-2000","33-2010"
"191",3750,"fire inspectors",3750,NA,"Fire inspectors",3750,"33-2020","33","33-2000","33-2020"
"192",3800,"bailiffs, correctional officers, and jailers",3800,NA,"Bailiffs, correctional officers, and jailers",3800,"33-3010","33","33-3000","33-3010"
"193",3820,"detectives and criminal investigators",3820,NA,"Detectives and criminal investigators",3820,"33-3021","33","33-3000","33-3020"
"194",3840,"miscellaneous law enforcement workers",3820,NA,"Parking enforcement workers",3840,"33-3041","33","33-3000","33-3040"
"195",3850,"police officers",3820,NA,"Police and sheriff's patrol officers",3850,"33-3051","33","33-3000","33-3050"
"196",3900,"animal control workers",3900,NA,"Animal control workers",3900,"33-9011","33","33-9000","33-9010"
"197",3910,"private detectives and investigators",3910,NA,"Private detectives and investigators",3910,"33-9021","33","33-9000","33-9020"
"198",3930,"security guards and gaming surveillance officers",3930,NA,"Security guards and gaming surveillance officers",3930,"33-9030","33","33-9000","33-9030"
"199",3940,"crossing guards",3940,NA,"Crossing guards",3940,"33-9091","33","33-9000","33-9090"
"200",3945,"transportation security screeners",3940,NA,"Transportation security screeners",3945,"33-9093","33","33-9000","33-9090"
"201",3955,"lifeguards and other recreational, and all other protective service workers",3950,NA,"Lifeguards and other recreational, and all other protective service workers",3955,"33-909X","33","33-9000","33-9090"
"202",4000,"chefs and head cooks",4000,NA,"Chefs and head cooks",4000,"35-1011","35","35-1000","35-1010"
"203",4010,"first-line supervisors of food preparation and serving workers",4010,NA,"First-line supervisors of food preparation and serving workers",4010,"35-1012","35","35-1000","35-1010"
"204",4020,"cooks",4010,NA,"Cooks",4020,"35-2010","35","35-2000","35-2010"
"205",4030,"food preparation workers",4030,NA,"Food preparation workers",4030,"35-2021","35","35-2000","35-2020"
"206",4040,"bartenders",4040,NA,"Bartenders",4040,"35-3011","35","35-3000","35-3010"
"207",4050,"combined food preparation and serving workers, including fast food",4050,NA,"Combined food preparation and serving workers, including fast food",4050,"35-3021","35","35-3000","35-3020"
"208",4060,"counter attendants, cafeteria, food concession, and coffee shop",4060,NA,"Counter attendants, cafeteria, food concession, and coffee shop",4060,"35-3022","35","35-3000","35-3020"
"209",4110,"waiters and waitresses",4110,NA,"Waiters and waitresses",4110,"35-3031","35","35-3000","35-3030"
"210",4120,"food servers, nonrestaurant",4120,NA,"Food servers, nonrestaurant",4120,"35-3041","35","35-3000","35-3040"
"211",4130,"miscellaneous food preparation and serving related workers, including dining room and cafeteria attendants and bartender helpers",4130,NA,"Dining room and cafeteria attendants and bartender helpers",4130,"35-9011","35","35-9000","35-9010"
"212",4140,"dishwashers",4140,NA,"Dishwashers",4140,"35-9021","35","35-9000","35-9020"
"213",4150,"hosts and hostesses, restaurant, lounge, and coffee shop",4150,NA,"Hosts and hostesses, restaurant, lounge, and coffee shop",4150,"35-9031","35","35-9000","35-9030"
"214",4200,"first-line supervisors of housekeeping and janitorial workers",4200,NA,"First-line supervisors of housekeeping and janitorial workers",4200,"37-1011","37","37-1000","37-1010"
"215",4210,"first-line supervisors of landscaping, lawn service, and groundskeeping workers",4210,NA,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",4210,"37-1012","37","37-1000","37-1010"
"216",4220,"janitors and building cleaners",4220,NA,"Janitors and building cleaners",4220,"37-201X","37","37-2000","37-2010"
"217",4230,"maids and housekeeping cleaners",4230,NA,"Maids and housekeeping cleaners",4230,"37-2012","37","37-2000","37-2010"
"218",4240,"pest control workers",4240,NA,"Pest control workers",4240,"37-2021","37","37-2000","37-2020"
"219",4250,"grounds maintenance workers",4250,NA,"Grounds maintenance workers",4250,"37-3010","37","37-3000","37-3010"
"220",4300,"first-line supervisors of gaming workers",4300,NA,"First-line supervisors of gaming workers",4300,"39-1010","39","39-1000","39-1010"
"221",4320,"first-line supervisors of personal service workers",4320,NA,"First-line supervisors of personal service workers",4320,"39-1021","39","39-1000","39-1020"
"222",4340,"animal trainers",4340,NA,"Animal trainers",4340,"39-2011","39","39-2000","39-2010"
"223",4350,"nonfarm animal caretakers",4350,NA,"Nonfarm animal caretakers",4350,"39-2021","39","39-2000","39-2020"
"224",4400,"gaming services workers",4400,NA,"Gaming services workers",4400,"39-3010","39","39-3000","39-3010"
"225",4410,"motion picture projectionists",4400,NA,"Motion picture projectionists",4410,"39-3021","39","39-3000","39-3020"
"226",4420,"ushers, lobby attendants, and ticket takers",4420,NA,"Ushers, lobby attendants, and ticket takers",4420,"39-3031","39","39-3000","39-3030"
"227",4430,"miscellaneous entertainment attendants and related workers",4430,NA,"Miscellaneous entertainment attendants and related workers",4430,"39-3090","39","39-3000","39-3090"
"228",4460,"embalmers and funeral attendants",4460,NA,"Embalmers and funeral attendants",4460,"39-40XX","39","39-4000","39-40X0"
"229",4465,"morticians, undertakers, and funeral directors",4460,NA,"Morticians, undertakers, and funeral directors",4465,"39-4031","39","39-4000","39-4030"
"230",4500,"barbers",4500,NA,"Barbers",4500,"39-5011","39","39-5000","39-5010"
"231",4510,"hairdressers, hairstylists, and cosmetologists",4510,NA,"Hairdressers, hairstylists, and cosmetologists",4510,"39-5012","39","39-5000","39-5010"
"232",4520,"miscellaneous personal appearance workers",4520,NA,"Miscellaneous personal appearance workers",4520,"39-5090","39","39-5000","39-5090"
"233",4530,"baggage porters, bellhops, and concierges",4530,NA,"Baggage porters, bellhops, and concierges",4530,"39-6010","39","39-6000","39-6010"
"234",4540,"tour and travel guides",4540,NA,"Tour and travel guides",4540,"39-7010","39","39-7000","39-7010"
"235",4600,"childcare workers",4600,NA,"Childcare workers",4600,"39-9011","39","39-9000","39-9010"
"236",4610,"personal care aides",4610,NA,"Personal care aides",4610,"39-9021","39","39-9000","39-9020"
"237",4620,"recreation and fitness workers",4620,NA,"Recreation and fitness workers",4620,"39-9030","39","39-9000","39-9030"
"238",4640,"residential advisors",4640,NA,"Residential advisors",4640,"39-9041","39","39-9000","39-9040"
"239",4700,"first-line supervisors of retail sales workers",4700,NA,"First-line supervisors of retail sales workers",4700,"41-1011","41","41-1000","41-1010"
"240",4710,"first-line supervisors of non-retail sales workers",4700,NA,"First-line supervisors of non-retail sales workers",4710,"41-1012","41","41-1000","41-1010"
"241",4720,"cashiers",4720,NA,"Cashiers",4720,"41-2010","41","41-2000","41-2010"
"242",4740,"counter and rental clerks",4740,NA,"Counter and rental clerks",4740,"41-2021","41","41-2000","41-2020"
"243",4750,"parts salespersons",4750,NA,"Parts salespersons",4750,"41-2022","41","41-2000","41-2020"
"244",4760,"retail salespersons",4760,NA,"Retail salespersons",4760,"41-2031","41","41-2000","41-2030"
"245",4800,"advertising sales agents",4800,NA,"Advertising sales agents",4800,"41-3011","41","41-3000","41-3010"
