"","label","id","Interval","classification","acs_occ_code","median_edu","median_earnings","total_employment_2010","log_median_earnings","log_total_employment_2010","auto_prob_average","women_pct"
"420","cutting workers",419,NA,"Production",8710,5.3946238,18726.2,930,9.837678892,6.835184586,0.75,0.311
"421","extruding, forming, pressing, and compacting machine setters, operators, and tenders",420,NA,"Production",8720,5.7175574,22493.66,393,10.02098877,5.973809612,0.93,0.155
"422","furnace, kiln, oven, drier, and kettle operators and tenders",421,NA,"Production",8730,6.284153,31780.33,183,10.36660282,5.209486153,0.37,0.155
"423","inspectors, testers, sorters, samplers, and weighers",422,NA,"Production",8740,6.6640196,28761.83,9697,10.26680444,9.179571838,0.98,0.39
"424","jewelers and precious stone and metal workers",423,NA,"Production",8750,6.502193,17523,456,9.771269583,6.12249281,0.95,0.46
"425","medical, dental, and ophthalmic laboratory technicians",424,NA,"Production",8760,6.8408165,27625.35,980,10.22648911,6.887552572,0.796666667,0.589
"426","packaging and filling machine operators and tenders",425,NA,"Production",8800,5.306191,17607.19,3279,9.77606262,8.095293777,0.98,0.573
"427","painting workers",426,NA,"Production",8810,5.617249,24101.51,1774,10.09002977,7.480992163,0.84,0.113
"428","miscellaneous production workers, including semiconductor processors",427,NA,"Production",8965,5.824409,24378.1,15183,10.10144047,9.62793166,0.873333333,0.444
"429","photographic process workers and processing machine operators",428,NA,"Production",8830,7.0239234,19500.26,627,9.878183078,6.440946541,0.99,0.113
"430","adhesive bonding machine operators and tenders",429,NA,"Production",8850,5.616915,21467.56,201,9.974298237,5.303304908,0.95,0.113
"431","etchers and engravers",430,NA,"Production",8910,6.714286,21059.66,119,9.955114641,4.779123493,0.98,0.113
"432","molders, shapers, and casters, except metal and plastic",431,NA,"Production",8920,6.4337897,20194.73,438,9.913176958,6.08221891,0.9,0.113
"433","paper goods machine setters, operators, and tenders",432,NA,"Production",8930,5.7105265,27176.89,380,10.21012226,5.940171253,0.67,0.113
"434","tire builders",433,NA,"Production",8940,6.177778,34600.22,180,10.45161532,5.192956851,0.94,0.113
"435","helpers--production workers",434,NA,"Production",8950,5.5061226,13495.89,735,9.510140474,6.599870499,0.66,0.444
"436","supervisors of transportation and material moving workers",435,NA,"Transportation and material moving",9000,6.8710923,41230.51,2591,10.6269338,7.859799181,0.171666667,0.255
"437","aircraft pilots and flight engineers",436,NA,"Transportation and material moving",9030,9.34624,86855.27,1782,11.37199845,7.485491608,0.365,0.083
"438","air traffic controllers and airfield operations specialists",437,NA,"Transportation and material moving",9040,7.976445,71229.34,467,11.17366009,6.146329258,0.41,0.083
"439","flight attendants",438,NA,"Transportation and material moving",9050,7.9944496,33684.82,1081,10.42480257,6.985641818,0.35,0.78
"440","ambulance drivers and attendants, except emergency medical technicians",439,NA,"Transportation and material moving",9110,6.5523257,20292.15,172,9.917989391,5.147494477,0.25,0.4665
"441","bus drivers",440,NA,"Transportation and material moving",9120,6.4255486,19867.6,7656,9.896845543,8.943244933,0.78,0.4665
"442","driver/sales workers and truck drivers",441,NA,"Transportation and material moving",9130,5.972323,26422.92,38263,10.18198709,10.55223865,0.82,0.069
"443","taxi drivers and chauffeurs",442,NA,"Transportation and material moving",9140,6.4996233,15564.44,3981,9.652744104,8.289288323,0.89,0.13
"444","locomotive engineers and operators",443,NA,"Transportation and material moving",9200,6.8414025,54905.83,599,10.91337481,6.395261598,0.935,0.4665
"445","subway, streetcar, and other rail transportation workers",444,NA,"Transportation and material moving",9260,6.327869,41390.16,122,10.63079845,4.804021045,0.845,0.4665
"446","railroad conductors and yardmasters",445,NA,"Transportation and material moving",9240,6.803502,46336.36,514,10.74368225,6.242223265,0.83,0.4665
"447","sailors and marine oilers, and ship engineers",446,NA,"Transportation and material moving",9300,6.496164,37696.91,391,10.53733341,5.96870756,0.4355,0.083
"448","ship and boat captains and operators",447,NA,"Transportation and material moving",9310,6.8453426,54468.59,569,10.90537948,6.343880434,0.445,0.083
"449","miscellaneous transportation workers, including bridge and lock tenders and traffic technicians",448,NA,"Transportation and material moving",9420,6.9458485,29928.52,277,10.30656715,5.624017506,0.935,0.135
"450","parking lot attendants",449,NA,"Transportation and material moving",9350,6.347079,13334.77,873,9.498130189,6.771935556,0.87,0.135
"451","automotive and watercraft service attendants",450,NA,"Transportation and material moving",9360,6.0614805,13489.25,1594,9.509648351,7.374001859,0.83,0.234
"452","transportation inspectors",451,NA,"Transportation and material moving",9410,6.88853,42199.92,619,10.6501736,6.428105273,0.9,0.4665
"453","transportation attendants, except flight attendants",452,NA,"Transportation and material moving",9415,6.3514285,19562.77,350,9.881383549,5.857933154,0.75,0.234
"454","conveyor operators and tenders, and hoist and winch operators",453,NA,"Transportation and material moving",9560,5.7675676,29722.92,185,10.29967374,5.220355825,0.79,0.029
"455","crane and tower operators",454,NA,"Transportation and material moving",9510,5.8410196,39650.33,824,10.58785455,6.71417053,0.9,0.029
"456","dredge, excavating, and loading machine operators",455,NA,"Transportation and material moving",9520,5.7205653,24709.39,637,10.11493861,6.456769656,0.786666667,0.022
"457","industrial truck and tractor operators",456,NA,"Transportation and material moving",9600,5.7064924,21995.52,5976,9.998594075,8.695506727,0.93,0.095
"458","cleaners of vehicles and equipment",457,NA,"Transportation and material moving",9610,5.492813,12848.46,4383,9.460979239,8.3854887,0.37,0.204
"459","laborers and freight, stock, and material movers, hand",458,NA,"Transportation and material moving",9620,5.8579183,16767.2,28012,9.727179876,10.24038827,0.85,0.242
"460","machine feeders and offbearers",459,NA,"Transportation and material moving",9630,5.8202677,19293.54,523,9.867525604,6.259581464,0.93,0.242
"461","packers and packagers, hand",460,NA,"Transportation and material moving",9640,5.163038,13222.41,5741,9.489668396,8.65538869,0.38,0.517
"462","pumping station operators",461,NA,"Transportation and material moving",9650,6.2467947,38251.28,312,10.5519323,5.743003188,0.883333333,0.365
"463","refuse and recyclable material collectors",462,NA,"Transportation and material moving",9720,5.3963366,18242.81,1201,9.811526309,7.090909822,0.93,0.128
"464","miscellaneous material moving workers, including mine shuttle car operators, and tank car, truck, and ship loaders",463,NA,"Transportation and material moving",9750,5.8695073,27963.98,751,10.23867253,6.621405652,0.545,0.193
