Real Value Added by Industry
Real Value Added by Industry
"Last Revised on: March 27, 2025"
Line,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
23,"            Furniture and related products",38.1,38.8,40.7,42.3,38.2,37.3,36.6,39.2,41.3,41.8,38.3,32.6,23.8,24.0,24.3,23.8,25.7,27.1,28.9,29.1,28.9,30.3,29.1,27.3,28.8,27.4,22.8,22.2
24,"            Miscellaneous manufacturing",55.7,57.6,59.7,62.4,59.1,61.8,63.4,67.0,70.7,75.7,77.2,82.4,83.9,87.6,85.1,84.8,82.4,83.2,79.5,83.5,86.6,91.9,88.9,87.6,97.6,102.2,103.7,107.2
25,"        Nondurable goods",893.4,879.4,910.2,916.8,912.2,905.1,938.5,1005.5,985.5,1016.9,1044.5,991.7,976.4,964.2,903.1,871.2,910.0,919.2,925.1,914.0,931.4,985.2,982.9,955.6,1026.6,1020.3,1036.5,1104.6
26,"            Food and beverage and tobacco products",237.4,233.6,235.6,231.2,235.3,221.8,231.7,237.0,235.8,261.3,267.2,253.4,261.7,250.1,242.7,238.6,251.8,254.9,266.3,258.8,275.3,274.1,267.2,266.7,286.8,293.8,283.8,283.2
27,"            Textile mills and textile product mills",26.3,26.0,27.3,28.6,25.4,24.7,20.6,25.5,24.2,23.2,22.5,21.0,16.2,16.4,14.7,16.1,17.2,18.0,17.5,17.6,17.3,16.4,16.0,15.0,16.0,15.0,14.0,14.1
28,"            Apparel and leather and allied products",23.1,21.0,19.6,20.0,18.1,17.0,15.0,14.6,14.3,13.5,12.6,12.4,10.2,11.1,10.9,10.5,10.6,10.1,9.7,9.7,9.4,9.4,9.8,9.8,11.0,12.3,12.0,11.6
29,"            Paper products",82.2,76.9,81.2,76.5,66.8,68.5,67.5,72.1,70.1,74.6,70.5,62.8,65.7,61.4,58.8,58.5,60.0,60.9,62.1,60.6,55.9,59.5,62.7,67.5,64.3,61.2,57.0,55.0
30,"            Printing and related support activities",35.7,36.2,36.8,38.3,38.7,40.4,40.9,41.9,42.5,43.3,44.3,43.3,37.8,38.4,38.7,38.9,40.0,40.1,40.2,41.0,40.6,42.0,40.7,35.1,37.5,34.5,31.2,30.4
31,"            Petroleum and coal products",97.8,106.6,102.3,102.8,123.9,107.7,143.8,164.4,164.1,143.2,146.8,157.9,148.8,127.2,106.7,98.0,106.5,114.8,112.5,96.5,110.7,116.1,132.9,87.3,110.4,97.6,116.0,138.7
32,"            Chemical products",298.0,287.9,307.3,313.0,312.1,333.1,334.3,361.9,345.2,384.6,408.5,371.3,367.5,390.4,365.6,346.4,356.9,350.8,340.2,352.3,345.1,387.5,368.5,388.4,415.6,435.7,445.2,486.0
33,"            Plastics and rubber products",63.5,64.7,70.8,75.3,70.6,69.6,72.5,78.4,77.7,72.6,74.4,64.5,64.2,68.3,66.9,68.8,69.0,68.7,75.9,76.8,77.2,80.1,81.6,76.9,77.8,68.6,63.5,63.5
34,"    Wholesale trade",715.7,784.0,809.7,851.9,866.2,876.0,924.3,965.8,1009.8,1039.7,1075.0,1074.3,941.0,999.6,1020.8,1056.5,1084.3,1127.6,1179.0,1169.2,1176.1,1185.9,1198.2,1205.5,1194.1,1175.3,1168.9,1178.1
35,"    Retail trade",698.0,764.6,791.6,816.2,846.5,887.2,933.5,948.6,979.1,986.3,955.7,924.3,885.0,922.4,927.8,934.8,978.1,1007.0,1059.9,1122.1,1178.9,1220.1,1253.7,1230.8,1238.2,1187.9,1317.7,1436.8
36,"        Motor vehicle and parts dealers",127.1,132.9,140.7,143.1,140.6,142.2,144.2,146.6,147.8,143.9,145.2,131.1,109.7,121.2,123.3,134.3,151.1,164.3,182.7,213.1,235.8,243.7,260.2,225.7,189.2,160.4,223.0,308.9
37,"        Food and beverage stores",186.0,197.4,195.7,194.4,197.0,195.6,194.4,188.6,183.0,182.3,174.9,170.1,168.2,177.3,166.1,158.6,161.7,160.7,158.9,156.3,162.1,158.6,160.3,173.7,179.4,166.1,159.7,160.6
38,"        General merchandise stores",73.9,80.0,83.7,89.3,94.1,109.0,122.3,127.7,135.1,137.3,136.0,138.1,145.7,142.9,148.8,130.1,132.6,135.7,142.0,144.2,152.1,158.3,157.2,166.5,179.2,156.9,148.3,155.1
39,"        Other retail",337.4,381.3,395.3,410.6,435.8,457.7,488.1,498.6,524.7,535.3,509.9,497.2,477.3,496.2,502.4,521.3,539.6,550.8,578.7,608.8,629.0,659.6,676.4,665.8,702.9,726.8,791.1,811.5
40,"    Transportation and warehousing",441.1,464.1,468.3,466.6,436.7,420.3,436.4,473.3,496.2,525.5,523.6,519.6,487.5,514.4,525.2,531.0,547.7,569.7,591.1,603.8,635.5,657.6,658.9,604.0,686.2,696.7,707.0,719.8
41,"        Air transportation",108.6,104.8,102.9,83.7,57.3,58.0,62.6,74.4,78.4,85.7,92.9,88.7,88.0,102.4,102.7,98.1,103.2,106.4,111.6,120.3,128.7,133.9,133.2,70.7,117.6,147.0,151.6,156.5
42,"        Rail transportation",36.9,39.1,40.9,43.3,42.1,37.9,41.3,43.6,44.1,45.6,44.7,45.8,40.7,40.7,41.0,42.4,42.7,45.0,46.2,43.1,44.3,44.9,41.9,37.3,40.3,43.0,41.0,39.9
43,"        Water transportation",7.9,7.2,5.9,6.4,6.1,4.5,4.4,5.2,6.2,10.1,13.0,15.7,19.6,16.2,17.3,17.8,23.3,21.5,17.7,14.9,14.0,14.5,13.3,13.0,17.2,15.6,15.9,17.4
44,"        Truck transportation",126.3,131.6,138.2,142.6,135.8,131.8,134.5,140.1,143.5,150.2,151.3,139.7,127.7,136.1,142.8,144.5,148.8,158.5,163.4,165.5,178.0,177.8,176.1,173.9,188.0,167.3,168.7,180.4
45,"        Transit and ground passenger transportation",29.3,30.2,33.9,35.3,35.0,34.5,35.7,36.5,36.0,37.5,38.3,39.2,36.8,37.7,39.3,41.4,41.2,43.6,42.9,41.5,43.4,46.8,55.4,43.5,49.2,61.8,73.0,86.3
46,"        Pipeline transportation",11.2,17.9,20.1,18.0,30.6,18.7,19.5,19.5,18.0,17.3,19.3,23.0,20.3,25.2,25.5,29.3,29.1,32.1,39.3,39.9,41.0,43.3,35.0,32.8,34.2,34.1,35.1,35.5
47,"        Other transportation and support activities",111.1,118.7,113.3,122.3,123.2,125.7,127.2,135.7,145.2,148.1,132.2,132.8,117.8,118.1,115.4,111.1,111.3,112.1,117.5,121.1,125.0,129.8,133.5,148.6,151.3,153.5,162.4,149.3
48,"        Warehousing and storage",22.0,25.7,24.9,26.5,25.2,25.5,27.4,32.1,36.6,39.3,37.2,39.4,38.8,40.5,42.8,47.1,49.6,51.3,52.9,57.6,61.1,66.8,71.6,79.6,93.9,93.0,81.4,81.0
49,"    Information",290.4,323.6,363.5,357.2,381.3,418.3,433.9,486.7,521.7,542.4,601.3,642.3,625.9,670.8,685.0,689.5,762.7,786.8,870.6,948.0,1010.0,1066.0,1177.7,1224.2,1390.6,1478.8,1605.9,1676.5
50,"        Publishing industries, except internet (includes software)",77.8,87.7,111.2,90.6,88.0,103.6,113.0,129.3,139.7,130.5,156.1,153.9,145.5,158.3,165.9,174.1,183.2,193.6,201.8,216.0,236.0,253.0,286.5,312.3,371.6,390.1,434.1,444.4
51,"        Motion picture and sound recording industries",34.4,41.9,51.0,45.2,53.5,59.1,56.7,61.3,54.1,61.1,70.5,74.5,82.1,90.8,85.4,81.4,84.0,84.7,91.9,96.1,97.7,93.2,89.9,78.7,96.9,114.4,116.4,119.6
52,"        Broadcasting and telecommunications",144.2,156.5,170.0,189.1,195.0,195.8,202.2,223.3,254.6,269.1,302.4,325.4,309.3,318.7,315.8,321.8,354.9,353.8,403.5,439.6,462.1,482.4,514.0,500.8,524.4,517.3,526.7,524.7
53,"        Data processing, internet publishing, and other information services",30.9,35.3,29.3,25.2,40.4,59.3,61.4,73.1,70.7,79.7,68.2,85.4,87.6,103.2,118.3,111.8,140.3,155.6,173.4,196.2,214.2,237.8,288.7,334.9,401.2,461.8,536.4,598.8
54,"    Finance, insurance, real estate, rental, and leasing",2465.3,2574.1,2739.3,2881.8,3028.7,3043.7,3068.0,3128.1,3339.3,3410.8,3492.0,3417.8,3603.4,3649.1,3712.7,3877.0,3860.5,3948.5,3994.6,4022.3,4033.0,4093.2,4184.7,4239.9,4477.5,4620.4,4676.2,4751.8
55,"        Finance and insurance",883.7,975.8,1064.3,1163.0,1222.0,1208.9,1190.7,1201.2,1310.1,1359.2,1303.5,1133.5,1408.9,1344.2,1354.5,1492.9,1400.2,1480.5,1534.9,1541.8,1508.0,1471.8,1523.2,1552.6,1625.0,1589.6,1575.2,1604.6
56,"            Federal Reserve banks, credit intermediation, and related activities",394.9,456.6,542.8,545.5,539.4,600.8,580.4,539.6,583.0,570.6,526.9,562.7,692.0,636.1,703.2,758.9,702.7,724.1,714.5,682.5,648.9,622.9,651.4,698.6,733.6,654.0,638.9,660.5
57,"            Securities, commodity contracts, and investments",185.7,188.9,202.7,255.1,371.5,316.7,283.0,285.2,330.5,371.3,309.9,155.0,357.8,330.3,260.8,330.9,308.9,248.5,245.5,274.6,283.4,273.6,257.4,264.2,266.2,297.4,312.1,309.2
58,"            Insurance carriers and related activities",281.1,304.4,301.1,349.3,327.0,305.2,327.2,365.3,388.5,412.2,449.9,392.5,398.8,400.2,406.1,423.5,401.4,500.3,566.3,581.3,568.9,575.2,614.5,588.1,607.4,639.3,632.4,634.4
59,"            Funds, trusts, and other financial vehicles",5.7,8.5,9.6,6.5,6.5,5.9,5.8,6.3,7.4,7.6,5.4,2.6,0.4,3.0,9.8,23.0,31.5,68.3,33.5,4.2,6.8,0.6,0.8,0.6,14.4,5.1,3.5,5.5
60,"        Real estate and rental and leasing",1575.1,1592.5,1670.2,1717.9,1805.7,1831.5,1871.1,1919.5,2023.5,2047.4,2178.3,2262.7,2205.9,2301.4,2352.8,2388.3,2455.8,2466.6,2460.1,2480.9,2525.0,2622.8,2662.2,2687.7,2853.4,3036.3,3108.4,3154.6
61,"            Real estate",1441.7,1440.1,1502.3,1548.7,1618.3,1650.1,1698.7,1757.6,1861.4,1860.0,2001.9,2076.0,2043.2,2142.8,2193.4,2219.5,2281.1,2287.5,2265.2,2272.3,2312.8,2398.0,2424.2,2446.9,2592.8,2763.0,2816.4,2852.5
62,"                Housing",1320.2,1345.4,1387.4,1431.2,1481.4,1480.2,1496.9,1552.5,1619.6,1652.5,1682.5,1763.8,1739.2,1780.3,1791.8,1783.1,1794.4,1792.0,1783.1,1786.6,1795.3,1819.7,1847.3,1872.9,1943.1,2050.9,2075.9,2103.3
63,"                Other real estate",157.4,141.8,157.2,161.5,177.4,199.7,222.7,228.0,258.1,234.0,325.7,322.1,314.2,368.5,405.3,438.3,487.1,495.7,482.5,486.0,517.4,579.0,577.3,574.1,651.9,716.2,747.0,755.6
64,"            Rental and leasing services and lessors of intangible assets",134.0,150.2,164.6,166.4,183.3,178.0,169.9,160.7,161.7,184.6,175.8,185.8,164.1,161.5,162.8,171.3,177.1,181.1,195.4,208.6,212.3,224.8,238.2,241.1,261.2,274.0,292.8,303.1
65,"    Professional and business services",1291.0,1352.4,1417.9,1500.2,1546.5,1562.8,1613.6,1655.6,1732.0,1782.6,1846.3,1936.9,1809.0,1891.5,1971.7,2065.3,2101.8,2195.5,2272.1,2320.6,2433.6,2584.6,2712.3,2698.6,3045.1,3306.6,3391.8,3482.3
66,"        Professional, scientific, and technical services",737.0,778.5,823.2,866.8,896.3,917.0,931.8,965.6,1003.0,1042.5,1084.8,1171.5,1106.8,1138.2,1189.9,1243.7,1254.1,1306.5,1365.7,1408.3,1460.6,1558.1,1643.9,1656.2,1881.2,2033.5,2116.2,2194.3
67,"            Legal services",256.3,266.3,274.7,282.8,290.9,291.8,303.0,306.7,302.4,304.3,307.8,329.9,289.3,267.9,270.2,262.0,255.1,253.1,259.0,268.3,266.4,269.0,270.5,254.1,276.4,279.8,273.8,271.9
68,"            Computer systems design and related services",49.0,59.7,68.2,74.1,77.6,75.4,84.3,95.1,107.4,119.6,136.0,147.7,156.0,174.9,194.9,222.9,231.6,247.4,271.8,298.0,326.4,374.1,407.0,437.7,511.5,566.8,596.9,637.1
69,"            Miscellaneous professional, scientific, and technical services",503.9,516.7,539.4,567.1,585.5,611.0,601.8,615.9,638.5,659.6,676.9,731.9,687.4,712.3,737.9,765.7,772.0,809.1,836.4,842.6,867.8,915.9,968.6,971.0,1104.5,1205.1,1269.8,1318.4
70,"        Management of companies and enterprises",246.6,252.5,253.2,267.1,278.7,275.7,285.9,269.9,270.2,269.7,264.4,266.0,243.3,262.3,273.3,294.8,310.4,331.1,340.5,345.6,370.1,395.0,421.6,430.1,477.0,528.0,536.5,547.8
71,"        Administrative and waste management services",316.5,329.6,347.7,372.9,378.8,376.6,402.6,423.7,462.0,473.2,500.6,502.4,461.6,493.7,511.2,528.5,538.3,558.5,566.1,566.7,602.9,631.6,647.4,614.5,689.1,748.3,744.7,747.9
72,"            Administrative and support services",281.3,293.0,308.8,333.4,338.4,335.2,359.7,381.4,416.5,429.9,453.7,454.7,415.0,437.2,461.2,478.9,489.1,507.9,515.2,518.1,549.7,577.6,593.9,562.3,631.8,689.3,689.6,693.2
73,"            Waste management and remediation services",35.8,37.1,39.6,39.7,40.7,41.8,43.3,42.5,45.6,42.9,46.6,47.5,46.8,57.2,50.2,49.7,49.3,50.7,50.9,48.6,53.2,54.0,53.6,52.2,57.4,59.5,56.1,55.9
74,"    Educational services, health care, and social assistance",978.9,983.6,1016.5,1051.7,1079.6,1121.2,1166.9,1222.5,1244.6,1293.8,1306.8,1391.1,1437.9,1457.6,1485.1,1512.6,1540.0,1572.4,1634.4,1682.5,1716.9,1765.1,1820.4,1761.6,1841.1,1929.8,2021.2,2108.9
75,"        Educational services",161.1,159.2,166.6,172.6,177.3,178.2,186.9,198.3,194.9,199.8,203.4,216.9,234.3,242.1,244.1,245.2,241.7,243.9,244.1,249.7,245.6,251.0,257.2,236.2,243.1,257.9,263.3,268.4
76,"        Health care and social assistance",819.2,825.2,851.3,880.5,903.7,943.3,980.6,1025.3,1049.7,1093.7,1103.3,1174.1,1204.5,1216.9,1242.2,1268.3,1298.8,1328.9,1390.4,1432.9,1471.3,1514.1,1563.3,1525.7,1598.5,1672.2,1758.3,1841.1
77,"            Ambulatory health care services",351.4,351.6,361.5,379.4,392.7,415.2,428.3,451.0,468.9,495.1,495.0,530.9,542.4,556.1,575.2,586.8,605.7,619.0,654.0,685.0,709.7,736.5,773.4,739.7,801.3,847.6,922.3,974.6
78,"            Hospitals",282.9,286.4,295.6,302.1,308.8,320.4,336.0,353.4,357.1,369.7,377.9,403.2,422.1,416.9,424.8,432.2,436.4,446.0,467.0,474.9,486.2,496.9,504.1,505.9,519.4,524.1,532.6,547.6
79,"            Nursing and residential care facilities",115.4,115.3,117.8,118.6,119.2,122.5,125.4,127.7,126.8,129.6,129.7,135.2,135.7,138.3,139.0,140.1,143.0,146.3,148.0,148.1,147.4,148.2,147.0,145.3,141.7,150.9,153.2,158.7
80,"            Social assistance",74.9,77.8,82.8,85.6,87.5,88.8,95.1,96.9,99.7,101.4,103.1,106.9,106.3,107.1,103.7,110.1,114.3,118.4,121.8,124.9,128.2,132.5,139.2,134.7,137.5,151.1,154.9,166.0
81,"    Arts, entertainment, recreation, accommodation, and food services",560.6,576.4,607.9,643.7,623.2,638.5,657.2,687.0,688.9,707.9,707.2,692.4,650.4,678.6,704.1,723.9,742.9,771.3,796.1,810.2,831.2,847.1,864.9,635.7,795.8,863.7,889.8,901.6
82,"        Arts, entertainment, and recreation",141.0,141.1,146.4,153.6,145.2,151.5,157.3,162.5,162.4,167.4,170.0,172.3,169.6,178.5,183.9,193.3,196.6,204.9,200.5,206.7,213.8,222.3,226.1,156.9,195.9,233.9,244.0,257.4
83,"            Performing arts, spectator sports, museums, and related activities",71.0,75.5,77.3,80.7,81.6,87.3,91.8,92.8,91.3,96.1,94.5,98.5,100.1,102.8,108.3,115.9,117.2,123.1,118.0,122.4,126.8,134.1,136.7,94.6,112.4,140.4,148.8,161.2
84,"            Amusements, gambling, and recreation industries",68.8,65.1,68.5,72.1,63.4,64.3,65.7,69.7,71.1,71.4,75.4,73.8,69.4,75.6,75.6,77.4,79.4,81.8,82.5,84.3,87.0,88.3,89.5,62.4,83.1,93.7,95.7,97.1
85,"        Accommodation and food services",420.1,436.0,462.4,491.2,479.4,488.3,501.0,525.8,528.0,541.9,538.3,520.6,480.9,500.0,520.2,530.4,546.1,566.2,595.7,603.5,617.4,624.8,638.8,478.7,599.8,631.4,647.8,647.2
86,"            Accommodation",123.0,125.5,132.7,142.9,130.9,133.0,134.9,144.9,144.8,148.6,151.4,145.7,127.9,135.4,145.1,147.4,155.0,158.4,171.0,170.3,176.3,177.8,180.9,132.0,169.4,179.2,192.1,198.2
87,"            Food services and drinking places",295.8,309.5,328.7,347.0,348.7,355.5,366.5,381.0,383.3,393.4,386.5,374.6,353.3,364.9,375.3,383.2,391.2,407.9,424.7,433.2,441.1,447.0,457.9,346.4,430.7,452.6,456.8,451.0
88,"    Other services, except government",452.3,471.4,475.0,485.5,438.3,449.9,437.7,443.4,446.1,448.2,438.5,422.6,397.9,391.6,388.4,394.6,398.4,416.6,423.9,424.3,433.2,447.1,449.0,404.5,417.4,436.1,414.2,409.0
89,Government,2130.5,2154.8,2181.3,2226.1,2249.4,2289.5,2317.6,2338.9,2362.9,2375.4,2399.1,2447.3,2448.2,2461.1,2452.5,2427.8,2416.6,2415.3,2411.1,2430.9,2455.8,2483.1,2499.3,2467.3,2487.1,2528.1,2582.3,2631.9
90,"    Federal",668.4,666.6,662.2,669.9,661.2,674.4,687.9,700.4,705.1,708.1,714.3,733.0,754.2,772.3,773.7,771.4,754.4,749.1,752.4,760.7,766.5,772.3,777.7,806.2,812.3,808.6,810.8,816.9
91,"        General government",581.3,575.1,570.4,573.4,575.0,585.2,601.0,609.7,617.5,622.2,630.8,654.2,686.9,710.0,716.7,716.1,704.6,699.9,695.9,700.1,702.1,706.9,716.3,738.7,749.4,750.4,760.1,772.6
92,"            National defense",370.2,360.2,352.1,348.0,347.2,352.3,362.1,369.8,375.4,377.0,381.7,396.4,417.8,430.9,436.7,432.8,424.0,417.1,408.9,406.7,405.6,407.9,413.5,422.4,426.8,421.9,419.5,420.7
93,"            Nondefense",211.1,214.9,218.2,225.2,227.7,232.6,238.6,239.5,241.8,244.9,248.8,257.5,268.7,278.8,279.6,283.0,280.3,282.6,286.9,293.4,296.5,299.0,302.7,316.3,322.6,328.7,341.1,352.7
94,"        Government enterprises",89.0,93.0,93.3,97.8,87.8,90.8,88.7,92.5,89.2,87.3,84.7,79.5,67.7,62.9,57.7,56.1,50.6,50.0,56.7,60.6,64.3,65.4,61.4,67.5,63.1,58.6,51.8,45.9
95,"    State and local",1461.8,1489.2,1521.4,1559.1,1592.5,1619.4,1633.4,1641.5,1661.2,1670.7,1688.4,1717.5,1695.3,1688.9,1678.6,1655.7,1662.1,1666.3,1658.7,1670.3,1689.4,1710.8,1721.7,1662.0,1675.6,1720.2,1772.5,1816.5
96,"        General government",1322.7,1350.9,1373.2,1402.2,1435.6,1463.8,1473.2,1478.6,1489.3,1502.0,1523.5,1543.9,1549.8,1536.1,1518.7,1498.9,1497.0,1498.8,1510.5,1528.7,1544.9,1558.7,1577.3,1534.5,1535.9,1567.0,1639.3,1687.2
97,"        Government enterprises",144.8,143.5,154.6,164.8,164.1,161.9,167.6,170.9,182.8,177.9,171.9,183.5,142.9,151.8,160.9,157.6,167.3,170.1,148.2,141.5,144.5,152.2,144.3,127.3,140.6,155.8,132.9,129.1
98,"    Not allocated by industry1",-804.6,-727.4,-656.5,-583.2,-608.0,-528.9,-467.1,-413.2,-370.0,-345.0,-251.6,-194.0,-223.3,-182.7,-173.9,-174.8,-124.4,-121.2,-46.5,-8.4,0.0,-10.1,-14.6,-15.4,-80.9,-227.6,-233.0,-249.9
,"    Addenda:",,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"            Private goods-producing industries2",2345.3,2448.1,2573.5,2722.9,2668.7,2674.9,2788.5,2954.6,3020.9,3150.3,3217.3,3090.0,2888.8,2928.9,2942.7,2995.9,3115.4,3192.0,3284.9,3296.5,3394.1,3537.7,3593.5,3471.3,3645.7,3584.8,3678.8,3803.2
100,"            Private services-producing industries3",7962.7,8377.9,8829.5,9176.5,9351.3,9551.4,9806.9,10179.9,10623.6,10918.2,11154.0,11267.6,11047.0,11434.2,11691.9,12052.6,12300.4,12668.4,13109.3,13414.1,13762.2,14173.8,14622.4,14316.9,15355.5,15923.0,16416.7,16875.0
101,"            Information-communications-technology-producing industries 4",181.1,221.4,260.9,310.3,327.2,348.9,392.9,451.8,512.5,568.1,642.2,714.6,715.7,786.9,835.3,862.4,947.6,995.9,1107.2,1210.1,1309.3,1426.3,1580.6,1685.8,1921.8,2048.3,2210.5,---

Legend/Footnotes
"1. Chained (2017) dollar series are calculated as the product of the chain-type quantity index and the 2017 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. The value of the Not allocated by industry line reflects the difference between the first line and the sum of the most detailed lines, as well as the differences in source data used to estimate GDP by industry and the expenditures measure of real GDP."
"2. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"3. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"4. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
