label,id,Interval,classification,acs_occ_code,median_edu,median_earnings,total_employment_2010,log_median_earnings,log_total_employment_2010,auto_prob_average
"heating, air conditioning, and refrigeration mechanics and installers",359,,"Installation, maintenance and repair",7315,6.346701,31793.71,3865,10.36702375,8.259716961,0.65
home appliance repairers,360,,"Installation, maintenance and repair",7320,6.3949194,25237.18,433,10.13607358,6.070737728,0.72
industrial and refractory machinery mechanics,361,,"Installation, maintenance and repair",7330,6.361082,37301.95,4805,10.52680088,8.477412321,0.745
"maintenance workers, machinery",362,,"Installation, maintenance and repair",7350,6.3042254,33211.46,355,10.41065028,5.872117789,0.86
millwrights,363,,"Installation, maintenance and repair",7360,6.319783,36028.62,738,10.4920689,6.603943825,0.59
electrical power-line installers and repairers,364,,"Installation, maintenance and repair",7410,6.4466715,53821.88,1397,10.89343535,7.242082359,0.097
telecommunications line installers and repairers,365,,"Installation, maintenance and repair",7420,6.6384697,39229.55,1856,10.57718557,7.526178913,0.49
precision instrument and equipment repairers,366,,"Installation, maintenance and repair",7430,7.2830424,35729.15,802,10.48372216,6.687108608,0.785
"maintenance and repair workers, general",367,,"Installation, maintenance and repair",7340,6.282104,33137.9,6331,10.40843292,8.753213481,0.64
"miscellaneous installation, maintenance, and repair workers, including wind turbine service technicians",368,,"Installation, maintenance and repair",7630,6.411317,25658.15,3022,10.15261654,8.013674143,0.68
"coin, vending, and amusement machine servicers and repairers",369,,"Installation, maintenance and repair",7510,6.5984254,22488.37,508,10.02075357,6.230481448,0.94
locksmiths and safe repairers,370,,"Installation, maintenance and repair",7540,6.4786887,24761.64,305,10.11705096,5.720311777,0.77
riggers,371,,"Installation, maintenance and repair",7560,6.0136056,36098.64,147,10.49401047,4.990432587,0.89
"helpers--installation, maintenance, and repair workers ",372,,"Installation, maintenance and repair",7610,5.631098,15033.63,328,9.618044971,5.793013608,0.79
first-line supervisors of production and operating workers,373,,Production,7700,6.7301755,45323.3,11211,10.72157653,9.324650718,0.016
"aircraft structure, surfaces, rigging, and systems assemblers",374,,Production,7710,6.133858,31176.93,127,10.34743368,4.844187086,0.79
"electrical, electronics, and electromechanical assemblers",375,,Production,7720,5.908266,20005.22,1984,9.903748518,7.592870288,0.883333333
engine and other machine assemblers,376,,Production,7730,6.1391754,27149.54,194,10.20911538,5.267858159,0.82
structural metal fabricators and fitters,377,,Production,7740,6.1815643,31081.17,358,10.34435745,5.880532986,0.41
miscellaneous assemblers and fabricators,378,,Production,7750,5.9098697,20069.96,12027,9.906979449,9.394909401,0.95
bakers,379,,Production,7800,5.9208565,15695.85,2148,9.661151625,7.672292456,0.89
"butchers and other meat, poultry, and fish processing workers",380,,Production,7810,5.348967,20738.32,3049,9.939738476,8.022568947,0.823333333
"food and tobacco roasting, baking, and drying machine operators and tenders",381,,Production,7830,5.8842974,20771.07,121,9.941316432,4.795790546,0.91
food batchmakers,382,,Production,7840,5.8915777,17538.83,1033,9.772172559,6.940222469,0.7
food cooking machine operators and tenders,383,,Production,7850,5.5820894,19542.01,134,9.880321786,4.8978398,0.61
computer control programmers and operators,384,,Production,7900,6.5814977,31220.99,908,10.3488459,6.811244379,0.61
"extruding and drawing machine setters, operators, and tenders, metal and plastic",385,,Production,7920,6.151079,27747.48,139,10.2309003,4.934473933,0.91
"forging machine setters, operators, and tenders, metal and plastic",386,,Production,7930,5.9791665,30035.21,96,10.31012564,4.564348191,0.93
"rolling machine setters, operators, and tenders, metal and plastic",387,,Production,7940,5.6837606,26134.27,117,10.17100276,4.762173935,0.83
"machine tool cutting setters, operators, and tenders, metal and plastic",388,,Production,7950,5.7381344,20814.27,1222,9.943394088,7.10824414,0.898
machinists,389,,Production,8030,6.2609186,34547.16,4419,10.45008063,8.393668705,0.65
"metal furnace operators, tenders, pourers, and casters",390,,Production,8040,6.0472727,29565.2,275,10.29435327,5.616771098,0.875
"model makers, patternmakers, and molding machine setters, metal and plastic",391,,Production,8100,5.89948,23717.12,577,10.07395243,6.357842267,0.8625
"miscellaneous metal workers and plastic workers, including multiple machine tool setters",392,,Production,8220,5.7945867,24683.25,4766,10.11388015,8.469262658,0.892
tool and die makers,393,,Production,8130,6.467039,34660.66,895,10.45336061,6.796823718,0.84
"welding, soldering, and brazing workers",394,,Production,8140,5.765284,27064.67,7328,10.20598447,8.899457906,0.775
prepress technicians and workers,395,,Production,8250,6.819502,21449.46,482,9.973454749,6.177944114,0.97
printing press operators,396,,Production,8255,6.2613373,25924.18,2602,10.1629314,7.864035659,0.83
print binding and finishing workers,397,,Production,8256,6.171504,19166.81,379,9.860935416,5.937536205,0.95
laundry and dry-cleaning workers,398,,Production,8300,5.2429285,13186.32,2404,9.486935208,7.784889296,0.71
"pressers, textile, garment, and related materials",399,,Production,8310,4.786325,13098.26,585,9.480234676,6.371611847,0.81
sewing machine operators,400,,Production,8320,4.9496403,12508.3,2919,9.434147703,7.978996371,0.89
shoe and leather workers,401,,Production,8330,5.9565215,10250.8,138,9.23511103,4.927253685,0.52
"tailors, dressmakers, and sewers",402,,Production,8350,5.949078,11775.42,1139,9.373769587,7.037905963,0.915
"textile bleaching and dyeing, and cutting machine setters, operators, and tenders",403,,Production,8400,5.6792455,15681.76,159,9.660253533,5.068904202,0.96
"textile knitting and weaving machine setters, operators, and tenders",404,,Production,8410,5.550296,14939.64,169,9.611773362,5.129898715,0.73
"textile winding, twisting, and drawing out machine setters, operators, and tenders",405,,Production,8420,5.11399,14111.19,193,9.554723379,5.262690189,0.96
"miscellaneous textile, apparel, and furnishings workers except upholsterers",406,,Production,8460,5.9012737,22061.21,314,10.00157614,5.749392986,0.44245
upholsterers,407,,Production,8450,5.611465,14727.66,471,9.597482637,6.154858094,0.39
cabinetmakers and bench carpenters,408,,Production,8500,6.15414,18815.9,785,9.842457536,6.665683718,0.92
furniture finishers,409,,Production,8510,5.5586853,15371.97,213,9.640301,5.361292166,0.87
"miscellaneous woodworkers, including model makers and patternmakers",410,,Production,8550,6.2607656,16939.14,418,9.7373822,6.035481433,0.935
"sawing machine setters, operators, and tenders, wood",411,,Production,8530,5.156673,16846.48,517,9.731897012,6.248042875,0.86
"woodworking machine setters, operators, and tenders, except sawing",412,,Production,8540,5.3460317,16484.92,315,9.710201303,5.752572639,0.97
"power plant operators, distributors, and dispatchers",413,,Production,8600,7.0249586,65636.11,601,11.09188128,6.398594935,0.745
stationary engineers and boiler operators,414,,Production,8610,6.722569,46910.73,1121,10.75600171,7.021976423,0.89
water and wastewater treatment plant and system operators,415,,Production,8620,6.758112,39799.38,1017,10.59160661,6.924612396,0.61
miscellaneous plant and system operators,416,,Production,8630,6.6222224,50625.66,495,10.83221384,6.204557763,0.8
"chemical processing machine setters, operators, and tenders",417,,Production,8640,6.8702865,43309.74,663,10.67613283,6.49677499,0.82
"crushing, grinding, polishing, mixing, and blending workers",418,,Production,8650,5.787853,27161.39,1169,10.20955176,7.063903961,0.923333333
cutting workers,419,,Production,8710,5.3946238,18726.2,930,9.837678892,6.835184586,0.75
"extruding, forming, pressing, and compacting machine setters, operators, and tenders",420,,Production,8720,5.7175574,22493.66,393,10.02098877,5.973809612,0.93
"furnace, kiln, oven, drier, and kettle operators and tenders",421,,Production,8730,6.284153,31780.33,183,10.36660282,5.209486153,0.37
"inspectors, testers, sorters, samplers, and weighers",422,,Production,8740,6.6640196,28761.83,9697,10.26680444,9.179571838,0.98
jewelers and precious stone and metal workers,423,,Production,8750,6.502193,17523,456,9.771269583,6.12249281,0.95
"medical, dental, and ophthalmic laboratory technicians",424,,Production,8760,6.8408165,27625.35,980,10.22648911,6.887552572,0.796666667
packaging and filling machine operators and tenders,425,,Production,8800,5.306191,17607.19,3279,9.77606262,8.095293777,0.98
painting workers,426,,Production,8810,5.617249,24101.51,1774,10.09002977,7.480992163,0.84
"miscellaneous production workers, including semiconductor processors",427,,Production,8965,5.824409,24378.1,15183,10.10144047,9.62793166,0.873333333
photographic process workers and processing machine operators,428,,Production,8830,7.0239234,19500.26,627,9.878183078,6.440946541,0.99
adhesive bonding machine operators and tenders,429,,Production,8850,5.616915,21467.56,201,9.974298237,5.303304908,0.95
etchers and engravers,430,,Production,8910,6.714286,21059.66,119,9.955114641,4.779123493,0.98
"molders, shapers, and casters, except metal and plastic",431,,Production,8920,6.4337897,20194.73,438,9.913176958,6.08221891,0.9
"paper goods machine setters, operators, and tenders",432,,Production,8930,5.7105265,27176.89,380,10.21012226,5.940171253,0.67
tire builders,433,,Production,8940,6.177778,34600.22,180,10.45161532,5.192956851,0.94
helpers--production workers,434,,Production,8950,5.5061226,13495.89,735,9.510140474,6.599870499,0.66
supervisors of transportation and material moving workers,435,,Transportation and material moving,9000,6.8710923,41230.51,2591,10.6269338,7.859799181,0.171666667
aircraft pilots and flight engineers,436,,Transportation and material moving,9030,9.34624,86855.27,1782,11.37199845,7.485491608,0.365
air traffic controllers and airfield operations specialists,437,,Transportation and material moving,9040,7.976445,71229.34,467,11.17366009,6.146329258,0.41
flight attendants,438,,Transportation and material moving,9050,7.9944496,33684.82,1081,10.42480257,6.985641818,0.35
"ambulance drivers and attendants, except emergency medical technicians",439,,Transportation and material moving,9110,6.5523257,20292.15,172,9.917989391,5.147494477,0.25
bus drivers,440,,Transportation and material moving,9120,6.4255486,19867.6,7656,9.896845543,8.943244933,0.78
driver/sales workers and truck drivers,441,,Transportation and material moving,9130,5.972323,26422.92,38263,10.18198709,10.55223865,0.82
taxi drivers and chauffeurs,442,,Transportation and material moving,9140,6.4996233,15564.44,3981,9.652744104,8.289288323,0.89
locomotive engineers and operators,443,,Transportation and material moving,9200,6.8414025,54905.83,599,10.91337481,6.395261598,0.935
"subway, streetcar, and other rail transportation workers",444,,Transportation and material moving,9260,6.327869,41390.16,122,10.63079845,4.804021045,0.845
railroad conductors and yardmasters,445,,Transportation and material moving,9240,6.803502,46336.36,514,10.74368225,6.242223265,0.83
"sailors and marine oilers, and ship engineers",446,,Transportation and material moving,9300,6.496164,37696.91,391,10.53733341,5.96870756,0.4355
ship and boat captains and operators,447,,Transportation and material moving,9310,6.8453426,54468.59,569,10.90537948,6.343880434,0.445
"miscellaneous transportation workers, including bridge and lock tenders and traffic technicians",448,,Transportation and material moving,9420,6.9458485,29928.52,277,10.30656715,5.624017506,0.935
parking lot attendants,449,,Transportation and material moving,9350,6.347079,13334.77,873,9.498130189,6.771935556,0.87
automotive and watercraft service attendants   ,450,,Transportation and material moving,9360,6.0614805,13489.25,1594,9.509648351,7.374001859,0.83
transportation inspectors,451,,Transportation and material moving,9410,6.88853,42199.92,619,10.6501736,6.428105273,0.9
"transportation attendants, except flight attendants",452,,Transportation and material moving,9415,6.3514285,19562.77,350,9.881383549,5.857933154,0.75
"conveyor operators and tenders, and hoist and winch operators",453,,Transportation and material moving,9560,5.7675676,29722.92,185,10.29967374,5.220355825,0.79
crane and tower operators,454,,Transportation and material moving,9510,5.8410196,39650.33,824,10.58785455,6.71417053,0.9
"dredge, excavating, and loading machine operators",455,,Transportation and material moving,9520,5.7205653,24709.39,637,10.11493861,6.456769656,0.786666667
industrial truck and tractor operators,456,,Transportation and material moving,9600,5.7064924,21995.52,5976,9.998594075,8.695506727,0.93
cleaners of vehicles and equipment,457,,Transportation and material moving,9610,5.492813,12848.46,4383,9.460979239,8.3854887,0.37
"laborers and freight, stock, and material movers, hand",458,,Transportation and material moving,9620,5.8579183,16767.2,28012,9.727179876,10.24038827,0.85
machine feeders and offbearers,459,,Transportation and material moving,9630,5.8202677,19293.54,523,9.867525604,6.259581464,0.93
"packers and packagers, hand",460,,Transportation and material moving,9640,5.163038,13222.41,5741,9.489668396,8.65538869,0.38
pumping station operators,461,,Transportation and material moving,9650,6.2467947,38251.28,312,10.5519323,5.743003188,0.883333333
refuse and recyclable material collectors,462,,Transportation and material moving,9720,5.3963366,18242.81,1201,9.811526309,7.090909822,0.93
"miscellaneous material moving workers, including mine shuttle car operators, and tank car, truck, and ship loaders",463,,Transportation and material moving,9750,5.8695073,27963.98,751,10.23867253,6.621405652,0.545
