id,label,Interval,classification,acs_occ_code,modularity_class,median_edu,median_earnings,total_employment_2010,log_median_earnings,log_total_employment_2010,mSML
42,"business operations specialists, all other",,"Management, business, and financial",740,4,8.681343,49391.29,2680,10.80752937,7.893572074,3.4241922599
43,accountants and auditors,,"Management, business, and financial",800,4,9.527542,56232.07,24254,10.93724251,10.09633683,3.485899813245
44,appraisers and assessors of real estate,,"Management, business, and financial",810,4,8.464438,33432.7,1167,10.41728974,7.062191632,3.69649898294
45,budget analysts,,"Management, business, and financial",820,4,9.242857,62570.71,630,11.04405256,6.445719819,3.39245211455
46,credit analysts,,"Management, business, and financial",830,4,9.031468,52667.48,286,10.87175347,5.655991811,3.59033706403
47,financial analysts,,"Management, business, and financial",840,4,9.914438,97502.34,935,11.48763166,6.840546529,3.56495495123
48,personal financial advisors,,"Management, business, and financial",850,4,9.683702,84990.23,3835,11.35029159,8.251924714,3.40285010111
49,insurance underwriters,,"Management, business, and financial",860,4,8.502655,57190.74,1130,10.95414728,7.029972912,3.61005786249
50,financial examiners,,"Management, business, and financial",900,4,9.522876,76006.54,153,11.23857467,5.030437921,3.31180048189
51,credit counselors and loan officers,,"Management, business, and financial",910,4,8.398944,53003.02,3597,10.87810417,8.187855444,3.53680308347
52,"tax examiners and collectors, and revenue agents",,"Management, business, and financial",930,4,8.304627,40103.05,778,10.59920767,6.656726524,3.54240960564
53,tax preparers,,"Management, business, and financial",940,4,8.296499,19707.55,1828,9.88875709,7.510977752,3.70232032854
54,"financial specialists, all other",,"Management, business, and financial",950,4,8.862531,69242.55,822,11.14537084,6.711740395,3.56495495123
55,computer and information research scientists,,"Computer, engineering, and science",1005,0,10.028986,76912.56,207,11.25042447,5.332718793,3.42220907993
56,computer systems analysts,,"Computer, engineering, and science",1006,0,9.306789,66261.58,5199,11.10136552,8.556221578,3.48899119948
57,information security analysts,,"Computer, engineering, and science",1007,0,8.935606,73613.45,528,11.20658303,6.269096284,3.54625797818
58,computer programmers,,"Computer, engineering, and science",1010,0,9.250469,63865.8,5326,11.06453929,8.580355766,3.47221003899
59,"software developers, applications and systems software",,"Computer, engineering, and science",1020,0,9.795245,81013.96,9338,11.30237676,9.141847376,3.40433598098
60,web developers,,"Computer, engineering, and science",1030,0,8.946849,38879.75,1825,10.56822883,7.509335266,3.5512366833
61,database administrators,,"Computer, engineering, and science",1060,0,9.129059,62354.03,1232,11.04058358,7.116394144,3.56139837398
62,network and computer systems administrators,,"Computer, engineering, and science",1105,0,8.528857,58390.18,2547,10.974903,7.842671475,3.59318696058
63,computer network architects ,,"Computer, engineering, and science",1106,0,8.91446,84718.84,982,11.34709329,6.889591308,3.53021953212
64,computer support specialists,,"Computer, engineering, and science",1050,0,8.204214,45949.9,5837,10.73530695,8.671972245,3.474337702885
65,"computer occupations, all other",,"Computer, engineering, and science",1107,0,8.418497,54722.68,3460,10.91003353,8.149023868,3.4867735522
66,actuaries,,"Computer, engineering, and science",1200,0,10.285714,119131.71,287,11.68798497,5.659482216,3.53632511556
67,"miscellaneous mathematical science occupations, including mathematicians and statisticians",,"Computer, engineering, and science",1240,0,10.141684,72238.85,487,11.18773327,6.188264123,3.509440476255
68,operations research analysts,,"Computer, engineering, and science",1220,0,9.329037,69957.94,1474,11.15564948,7.295735073,3.55154363785
69,"architects, except naval",,Architecture and engineering,1300,0,10.033209,53218.65,2138,10.88216418,7.667626092,3.38843509944
70,"surveyors, cartographers, and photogrammetrists",,Architecture and engineering,1310,0,9.469008,42837.05,484,10.66515866,6.182084907,3.49673374904
71,aerospace engineers,,Architecture and engineering,1320,0,9.835132,86065.85,1668,11.36286798,7.419380583,3.49363001331
72,biomedical and agricultural engineers,,Architecture and engineering,1340,0,9.6,68559.29,140,11.1354542,4.941642423,3.486960244725
73,chemical engineers,,Architecture and engineering,1350,4,9.905688,88068.11,668,11.38586577,6.504288174,3.30120657375
74,civil engineers,,Architecture and engineering,1360,0,9.806516,70959.76,3530,11.16986823,8.16905315,3.40997435689
75,computer hardware engineers,,Architecture and engineering,1400,0,9.410606,74924.73,660,11.22423929,6.492239835,3.52006528721
76,electrical and electronics engineers,,Architecture and engineering,1410,0,9.622213,78054.11,2647,11.26515758,7.881182202,3.546214999435
77,environmental engineers,,Architecture and engineering,1420,0,10.017291,72821.9,347,11.19577201,5.84932478,3.34690463918
78,"industrial engineers, including health and safety",,Architecture and engineering,1430,0,9.31282,65319.13,2145,11.08704023,7.670894831,3.6048355296
79,marine engineers and naval architects,,Architecture and engineering,1440,0,9.3046875,67639.84,128,11.12195244,4.852030264,3.438727965
80,materials engineers,,Architecture and engineering,1450,0,9.445844,70232.24,397,11.15956274,5.983936281,3.45084628117
81,mechanical engineers,,Architecture and engineering,1460,0,9.401632,65171.51,2450,11.08477769,7.803843304,3.55105514936
82,"petroleum, mining and geological engineers, including mining safety engineers",,Architecture and engineering,1520,0,9.581395,106322.87,387,11.57423569,5.958424693,3.42990946798
83,"miscellaneous engineers, including nuclear engineers",,Architecture and engineering,1530,0,9.735707,75302.67,5055,11.22927087,8.528133131,3.50292528037
84,drafters,,Architecture and engineering,1540,0,7.863737,37027.38,2253,10.51941292,7.72001794,3.89783185084
85,"engineering technicians, except drafters",,Architecture and engineering,1550,0,7.297158,42996.23,5031,10.66886772,8.52337405,3.43938931845667
86,surveying and mapping technicians,,Architecture and engineering,1560,0,6.917943,33039.29,914,10.40545274,6.817830571,3.409635795185
87,agricultural and food scientists,,"Life, physical and social science",1600,0,9.696202,45684.3,395,10.72950997,5.978885765,3.26364183800333
88,biological scientists,,"Life, physical and social science",1610,0,10.359375,50163.88,960,10.82305052,6.866933284,3.47283803193667
89,conservation scientists and foresters,,"Life, physical and social science",1640,0,9.762162,44812.59,370,10.71024441,5.913503006,3.46441755537
90,"medical scientists, and life scientists, all other",,"Life, physical and social science",1650,0,10.856101,73924.4,1508,11.21079823,7.318539549,3.28003410405
91,astronomers and physicists,,"Life, physical and social science",1700,0,10.575,77462.5,160,11.25754923,5.075173815,3.39000491837
92,atmospheric and space scientists,,"Life, physical and social science",1710,0,9.764706,68478.43,102,11.13427408,4.624972813,3.41678090806
93,chemists and materials scientists,,"Life, physical and social science",1720,0,10.237145,65264.32,953,11.08620076,6.859614904,3.491467784515
94,environmental scientists and geoscientists,,"Life, physical and social science",1740,0,10.35443,71877.79,869,11.18272259,6.767343125,3.50055760641
95,"physical scientists, all other",,"Life, physical and social science",1760,0,10.659477,66956.46,2179,11.11179784,7.686621335,3.45025423729
96,economists,,"Life, physical and social science",1800,0,10.689321,100266.93,309,11.51559121,5.733341277,3.46307236989
97,"miscellaneous social scientists, including survey researchers and sociologists",,"Life, physical and social science",1860,0,10.086384,44662.24,683,10.70688368,6.52649486,3.394491050828
98,psychologists,,"Life, physical and social science",1820,0,10.910127,42038.39,2281,10.64633853,7.732369222,3.4531889434
99,urban and regional planners,,"Life, physical and social science",1840,0,10.328,61278.8,250,11.02318922,5.521460918,3.48416652227
100,agricultural and food science technicians,,"Life, physical and social science",1900,0,7.2265625,31023.2,384,10.34249059,5.950642553,3.501486553085
101,biological technicians,,"Life, physical and social science",1910,0,8.455173,35797.38,290,10.48562999,5.669880923,3.51848290598
102,chemical technicians,,"Life, physical and social science",1920,0,7.689531,42492.92,831,10.65709275,6.722629795,3.5238396526
103,"geological and petroleum technicians, and nuclear technicians",,"Life, physical and social science",1930,0,7.4763947,54204.72,233,10.90052327,5.451038454,3.49379731446
104,"miscellaneous life, physical, and social science technicians, including social science research assistants",,"Life, physical and social science",1965,0,7.970417,25717.75,2231,10.15493669,7.710205194,3.49893187246
105,counselors,,Community and social service,2000,5,9.643834,31666.52,8336,10.36301525,9.028338764,3.466957023398
106,social workers,,Community and social service,2010,5,9.566706,35263.19,9317,10.47059492,9.139595967,3.49556819349
107,"miscellaneous community and social service specialists, including health educators and community health workers",,Community and social service,2025,5,8.598006,33835.99,1204,10.42928031,7.093404626,3.62288266874
108,probation officers and correctional treatment specialists,,Community and social service,2015,5,9.391098,44139.06,1056,10.69510038,6.962243464,3.39997696459
109,social and human service assistants,,Community and social service,2016,5,7.997764,27148.17,1789,10.20906492,7.489412084,3.53964821223
110,clergy,,Community and social service,2040,5,9.695538,34854.07,5669,10.4589252,8.642768014,3.61978353442
111,"directors, religious activities and education",,Community and social service,2050,5,8.9844475,26586.94,643,10.1881754,6.466144724,3.62236688916
112,"lawyers, and judges, magistrates, and other judicial workers",,Legal,2100,2,10.898983,107548.76,12394,11.58569961,9.424967764,3.376493508685
113,judicial law clerks,,Legal,2105,2,10.5,41127.54,248,10.62443325,5.513428746,3.44604427736
114,paralegals and legal assistants,,Legal,2145,2,8.394971,37240.31,4494,10.52514706,8.410498453,3.45081758176
115,miscellaneous legal support workers,,Legal,2160,2,8.147727,36862.03,2728,10.5149373,7.911324019,3.47888933143
116,postsecondary teachers,,"Education, training and library",2200,1,10.523713,47086.26,17311,10.75973652,9.759097417,3.40828930172333
117,preschool and kindergarten teachers,,"Education, training and library",2300,1,8.270549,18006.99,7093,9.798515295,8.866863661,3.457545352605
118,elementary and middle school teachers,,"Education, training and library",2310,1,10.303988,38116.46,46959,10.54840149,10.75703016,3.49210120590333
119,secondary school teachers,,"Education, training and library",2320,1,10.321009,41267.99,10386,10.62784242,9.248214024,3.500131940135
120,special education teachers,,"Education, training and library",2330,1,10.021315,37935.15,2815,10.5436334,7.942717541,3.48790690117333
121,other teachers and instructors,,"Education, training and library",2340,1,8.515562,20212.87,11663,9.914074809,9.364176717,3.455152357385
122,"archivists, curators, and museum technicians",,"Education, training and library",2400,1,9.651488,36669.89,571,10.50971126,6.34738921,3.39713391458333
123,librarians,,"Education, training and library",2430,1,10.049743,34674.53,2332,10.45376069,7.754481547,3.43885363622
124,library technicians,,"Education, training and library",2440,1,7.236911,12503.55,764,9.433767883,6.638567789,3.38163365412
125,"other education, training, and library workers",,"Education, training and library",2550,1,9.753482,35466.43,1436,10.47634189,7.26961675,3.42777443062667
126,teacher assistants,,"Education, training and library",2540,1,7.2731705,13429.09,14361,9.505178528,9.572271478,3.44829014535
127,artists and related workers,,"Arts, design, entertainment, sports and media",2600,1,8.5553055,21340.73,2667,9.968372732,7.888709524,3.5396007508775
128,designers,,"Arts, design, entertainment, sports and media",2630,1,8.485339,30985.32,9379,10.34126882,9.146228427,3.42775457662857
129,actors,,"Arts, design, entertainment, sports and media",2700,1,8.114552,17774.12,646,9.785498746,6.470799504,3.31743524736
130,producers and directors,,"Arts, design, entertainment, sports and media",2710,1,9.252163,56541.3,1618,10.94272662,7.388946098,3.286482874005
131,"athletes, coaches, umpires, and related workers",,"Arts, design, entertainment, sports and media",2720,1,7.59493,18908.94,3787,9.847390105,8.239329428,3.26898303724667
132,dancers and choreographers,,"Arts, design, entertainment, sports and media",2740,1,6.5559845,13422.01,259,9.504651176,5.556828062,3.238945701175
133,"musicians, singers, and related workers",,"Arts, design, entertainment, sports and media",2750,1,8.359951,16314.04,2467,9.699781366,7.810758117,3.286482874005
134,announcers,,"Arts, design, entertainment, sports and media",2800,1,7.752809,29437.34,623,10.29001922,6.434546519,3.19474453042
135,"news analysts, reporters and correspondents",,"Arts, design, entertainment, sports and media",2810,1,9.591287,42943.24,964,10.66763452,6.871091295,3.61501582628
136,public relations specialists,,"Arts, design, entertainment, sports and media",2825,1,9.3930025,56051.69,1715,10.93402958,7.44716836,3.42184811238
137,editors,,"Arts, design, entertainment, sports and media",2830,1,9.572792,40199.77,2095,10.60161655,7.647308832,3.57834592725
138,technical writers,,"Arts, design, entertainment, sports and media",2840,1,9.440095,48492.43,843,10.78916298,6.736966958,3.56172489482
139,writers and authors,,"Arts, design, entertainment, sports and media",2850,1,9.716164,30752.27,2586,10.33371909,7.857867559,3.45025423729
140,miscellaneous media and communication workers,,"Arts, design, entertainment, sports and media",2860,1,8.490231,22152.62,1126,10.00571105,7.026426809,3.5171027668
141,"broadcast and sound engineering technicians and radio operators, and media and communication equipment workers, all other",,"Arts, design, entertainment, sports and media",2900,1,7.7022133,34407.79,994,10.44603827,6.901737207,3.4227568139
142,photographers,,"Arts, design, entertainment, sports and media",2910,1,8.082272,15248.11,1884,9.63221084,7.541152455,3.59273615475
143,"television, video, and motion picture camera operators and editors",,"Arts, design, entertainment, sports and media",2920,1,8.4438095,32355.07,525,10.38452601,6.263398263,3.44823256529
144,chiropractors,,Healthcare practitioners and technical ,3000,5,10.866667,51441.03,585,10.84819138,6.371611847,3.39010044938
145,dentists,,Healthcare practitioners and technical ,3010,5,10.975898,103485.67,1950,11.54718843,7.575584652,3.3777922094275
146,dietitians and nutritionists,,Healthcare practitioners and technical ,3030,5,9.413145,33422.58,1065,10.416987,6.970730078,3.41082093992
147,optometrists,,Healthcare practitioners and technical ,3040,5,10.949153,67947.7,413,11.12649357,6.023447593,3.62133409536
148,pharmacists,,Healthcare practitioners and technical ,3050,5,10.368301,85751.44,3079,11.35920816,8.032360148,3.49969058466
149,physicians and surgeons,,Healthcare practitioners and technical ,3060,5,10.958114,164028.34,9669,12.0077945,9.17668017,3.39783783029714
150,physician assistants,,Healthcare practitioners and technical ,3110,5,9.6944685,62831.27,1175,11.04820816,7.069023427,3.49801426143
151,podiatrists,,Healthcare practitioners and technical ,3120,5,10.98,84714,100,11.34703616,4.605170186,3.41225109625
152,occupational therapists,,Healthcare practitioners and technical ,3150,5,10.132173,48020.06,976,10.77937412,6.883462586,3.30365136997
153,physical therapists,,Healthcare practitioners and technical ,3160,5,10.24609,57031.18,2174,10.95135341,7.684324068,3.36305943521
154,radiation therapists,,Healthcare practitioners and technical ,3200,5,8.793333,72232.67,150,11.18764772,5.010635294,3.50189385506
155,recreational therapists,,Healthcare practitioners and technical ,3210,5,8.819876,28535.78,161,10.25891402,5.081404365,3.26184197154
156,respiratory therapists,,Healthcare practitioners and technical ,3220,5,8.368683,46694.78,1207,10.75138766,7.095893221,3.49934532301
157,speech-language pathologists,,Healthcare practitioners and technical ,3230,5,10.8475485,46595.41,1489,10.74925732,7.305860033,3.3983478401
158,"other therapists, including exercise physiologists",,Healthcare practitioners and technical ,3245,5,10.012939,33460.93,1623,10.41813377,7.392031568,3.3912366453
159,veterinarians,,Healthcare practitioners and technical ,3250,5,10.938733,68860.06,963,11.13983161,6.870053412,3.51188304342
160,registered nurses,,Healthcare practitioners and technical ,3255,5,9.047441,51315.11,31935,10.84574053,10.37145787,3.42817953403
161,nurse anesthetists,,Healthcare practitioners and technical ,3256,5,10.463768,135249.64,276,11.81487754,5.620400866,3.47798990133
162,nurse practitioners and nurse midwives,,Healthcare practitioners and technical ,3258,5,10.821265,74393.82,1091,11.21712815,6.994849986,3.492042485925
163,audiologists,,Healthcare practitioners and technical ,3140,5,10.856287,54477.84,167,10.90554929,5.117993812,3.43757561845
164,"health diagnosing and treating practitioners, all other",,Healthcare practitioners and technical ,3260,5,10.068826,19661.13,247,9.886398869,5.509388337,3.52203604189
165,clinical laboratory technologists and technicians,,Healthcare practitioners and technical ,3300,5,8.673439,38841.91,3987,10.5672551,8.290794347,3.47527371169
166,dental hygienists,,Healthcare practitioners and technical ,3310,5,8.576014,38870.11,1776,10.56798085,7.482118924,3.3242749592
167,diagnostic related technologists and technicians,,Healthcare practitioners and technical ,3320,5,8.019469,45378.31,3544,10.72278952,8.173011312,3.477631693616
168,emergency medical technicians and paramedics,,Healthcare practitioners and technical ,3400,5,7.327189,37213.5,1953,10.52442688,7.577121931,3.35615458751
169,health practitioner support technologists and technicians,,Healthcare practitioners and technical ,3420,5,7.3345246,24933.63,5877,10.12397277,8.678801707,3.47670151412857
170,licensed practical and licensed vocational nurses,,Healthcare practitioners and technical ,3500,5,6.9598856,30468.43,8027,10.32444634,8.990566138,3.42626912767
171,medical records and health information technicians,,Healthcare practitioners and technical ,3510,5,7.153379,24735.21,1317,10.11598301,7.183111702,3.392859959
172,"opticians, dispensing",,Healthcare practitioners and technical ,3520,5,7.196918,30479.85,584,10.32482109,6.369900983,3.39687405878
173,miscellaneous health technologists and technicians,,Healthcare practitioners and technical ,3535,5,7.693166,37720.87,1434,10.5379688,7.268223021,3.44039013405
174,other healthcare practitioners and technical occupations,,Healthcare practitioners and technical ,3540,5,8.995825,49143.94,958,10.80250882,6.864847778,3.358673280915
175,"nursing, psychiatric, and home health aides",,Healthcare support,3600,5,6.3782077,17408.19,26422,9.764696064,10.18195228,3.4143189341275
176,occupational therapy assistants and aides,,Healthcare support,3610,5,8.09816,35678.77,163,10.48231111,5.093750201,3.31506921025
177,physical therapist assistants and aides,,Healthcare support,3620,5,7.9751477,27441.37,845,10.21980701,6.739336627,3.267351092305
178,massage therapists,,Healthcare support,3630,5,7.6409035,11055.9,1682,9.310719501,7.427738841,2.78047466177
179,dental assistants,,Healthcare support,3640,5,6.9372225,21863.23,3154,9.992561509,8.056426768,3.36416162965
180,medical assistants,,Healthcare support,3645,5,7.058679,21405.12,4482,9.971385425,8.407824654,3.47658419867
181,"healthcare support workers, all other, including medical equipment preparers",,Healthcare support,3655,5,6.4663887,19733.27,1919,9.890061323,7.559559496,3.4428446737
182,medical transcriptionists,,Healthcare support,3646,5,7.4133635,19543.84,883,9.880415426,6.783325201,3.70288107068
183,pharmacy aides,,Healthcare support,3647,5,7.2313576,21141.24,523,9.958980914,6.259581464,3.4229547642
184,veterinary assistants and laboratory animal caretakers,,Healthcare support,3648,5,6.9911504,13065.42,565,9.477724324,6.336825731,3.52814222079
185,phlebotomists,,Healthcare support,3649,5,7.020388,22484.92,1030,10.02060014,6.937314081,3.65922026839
186,first-line supervisors of correctional officers,,Protective service,3700,2,7.5340376,46302.78,852,10.74295728,6.747586527,3.41603257806
187,first-line supervisors of police and detectives,,Protective service,3710,2,8.228378,67864.66,1480,11.12527071,7.299797367,3.46064759634
188,first-line supervisors of fire fighting and prevention workers,,Protective service,3720,2,7.758514,70343.59,646,11.16114694,6.470799504,3.42457912707
189,firefighters,,Protective service,3740,2,7.3985505,54774.79,3174,10.91098533,8.062747901,3.314005260095
190,fire inspectors,,Protective service,3750,2,7.669456,41875.61,239,10.64245884,5.476463552,3.38360949512
191,"bailiffs, correctional officers, and jailers",,Protective service,3800,2,6.9853373,38591.07,5115,10.56077618,8.539932678,3.443170316255
192,detectives and criminal investigators,,Protective service,3820,2,8.635105,62523.15,1373,11.04329217,7.224753406,3.438830339215
193,miscellaneous law enforcement workers,,Protective service,3840,2,7.42029,28552.9,138,10.25951379,4.927253685,3.422146447955
194,police officers,,Protective service,3850,2,7.853462,54088.8,7336,10.89838242,8.900549014,3.42628116978
195,animal control workers,,Protective service,3900,2,7.025862,34883.62,116,10.45977266,4.753590191,3.54581985313
196,private detectives and investigators,,Protective service,3910,2,8.57339,43226.04,947,10.67419837,6.853299093,3.41739649069
197,security guards and gaming surveillance officers,,Protective service,3930,2,6.8085165,22920.44,11249,10.03978437,9.328034515,3.444981331525
198,crossing guards,,Protective service,3940,2,6.031646,10940.56,948,9.300232263,6.854354502,3.44052146084
199,"lifeguards and other recreational, and all other protective service workers",,Protective service,3955,2,6.110964,6277.8,3776,8.74477488,8.236420527,3.38169712286
200,transportation security screeners,,Protective service,3945,2,7.357377,30890.26,305,10.3381962,5.720311777,3.51248052353
201,chefs and head cooks,,Food preparation and serving,4000,3,6.4393983,25486.52,3457,10.14590496,8.14815644,3.34825701445
202,first-line supervisors of food preparation and serving workers,,Food preparation and serving,4010,3,6.60956,21105.55,6088,9.957291318,8.7140749,3.42827039058
203,cooks,,Food preparation and serving,4020,3,5.613839,10973.47,27025,9.30323582,10.20451764,3.374952035936
204,food preparation workers,,Food preparation and serving,4030,3,5.8236084,8264.1,10437,9.019676111,9.253112464,3.40008668656
205,bartenders,,Food preparation and serving,4040,3,6.9407525,14902.28,4439,9.6092695,8.398184405,3.47159516016
206,"combined food preparation and serving workers, including fast food",,Food preparation and serving,4050,3,5.877736,8796.35,4523,9.082092142,8.416930769,3.45085418625
207,"counter attendants, cafeteria, food concession, and coffee shop",,Food preparation and serving,4060,3,5.7730412,4928.73,3472,8.502836627,8.152486076,3.48259220196
208,waiters and waitresses,,Food preparation and serving,4110,3,6.447832,10075.33,25188,9.217845141,10.13412297,3.44774905539
209,"food servers, nonrestaurant",,Food preparation and serving,4120,3,6.0626554,12310.07,2410,9.418172906,7.787382026,3.41228922918
210,"miscellaneous food preparation and serving related workers, including dining room and cafeteria attendants and bartender helpers",,Food preparation and serving,4130,3,5.5947127,7516.26,4577,8.924823953,8.428799041,3.53966880939
211,dishwashers,,Food preparation and serving,4140,3,5.025561,6513.26,4147,8.781595378,8.33014046,3.50515112705
212,"hosts and hostesses, restaurant, lounge, and coffee shop",,Food preparation and serving,4150,3,6.1711273,5562.12,3699,8.62373461,8.215817792,3.33728785722
213,first-line supervisors of housekeeping and janitorial workers,,Food preparation and serving,4200,3,6.343762,27351.69,2621,10.2165336,7.871311203,3.51692003895
214,"first-line supervisors of landscaping, lawn service, and groundskeeping workers",,Food preparation and serving,4210,3,6.560168,26939.42,2144,10.20134592,7.670428522,3.52008753603
215,janitors and building cleaners,,Food preparation and serving,4220,3,5.6706467,15925.68,31741,9.67568818,10.3653645,3.3760250298
216,maids and housekeeping cleaners,,Food preparation and serving,4230,3,5.200033,8997.58,18197,9.104710931,9.809012024,3.3746248676
217,pest control workers,,Food preparation and serving,4240,3,6.484,26579.04,750,10.18787821,6.620073207,3.42420928322
218,grounds maintenance workers,,Food preparation and serving,4250,3,5.4671392,11032.65,16935,9.308614337,9.737137765,3.41386202302667
219,first-line supervisors of gaming workers,,Personal care and service ,4300,4,7.5611906,32769.07,907,10.39724036,6.81014245,3.463374160975
220,first-line supervisors of personal service workers,,Personal care and service ,4320,4,7.314898,24543.45,2007,10.1082003,7.604396349,3.50139624803
221,animal trainers,,Personal care and service ,4340,3,7.058608,14694.8,546,9.595248969,6.302618976,3.20289691497
222,nonfarm animal caretakers,,Personal care and service ,4350,3,6.6545,9781.34,2411,9.188231768,7.787796878,3.51768629808
223,gaming services workers,,Personal care and service ,4400,4,6.663134,25957.02,1321,10.16419737,7.186144305,3.55042934563
224,motion picture projectionists,,"Arts, design, entertainment, sports and media",4410,1,7,13981.4,114,9.545483154,4.736198448,3.25550363448
225,"ushers, lobby attendants, and ticket takers",,Personal care and service ,4420,4,6.567365,5136.32,668,8.544092149,6.504288174,3.73740637366
226,miscellaneous entertainment attendants and related workers,,Personal care and service ,4430,4,6.5547323,8133.93,2969,9.003799481,7.995980475,3.54202093073667
227,embalmers and funeral attendants,,Personal care and service ,4460,4,6.9333334,18585.1,210,9.830115463,5.347107531,3.66527766629
228,"morticians, undertakers, and funeral directors",,Personal care and service ,4465,4,8.160896,40100.77,491,10.59915082,6.196444128,3.89028366028
