,ipums_ordered_occ_titles,ipums_code,ACS_broad_classification,IPUMS_CPS_av_monthly_employment_whole_period
424,"medical, dental, and ophthalmic laboratory technicians",8760,Production,88488.9971921
425,packaging and filling machine operators and tenders,8800,Production,260839.460278
426,painting workers,8810,Production,145435.970985
427,"miscellaneous production workers, including semiconductor processors",8965,Production,786330.025147
428,photographic process workers and processing machine operators,8830,Production,38878.9557382
429,adhesive bonding machine operators and tenders,8850,Production,9220.74731348
430,etchers and engravers,8910,Production,10058.3771292
431,"molders, shapers, and casters, except metal and plastic",8920,Production,33814.5372157
432,"paper goods machine setters, operators, and tenders",8930,Production,32545.0709225
433,tire builders,8940,Production,16054.7904517
434,helpers--production workers,8950,Production,45861.9079506
435,supervisors of transportation and material moving workers,9000,Transportation and material moving,207618.298501
436,aircraft pilots and flight engineers,9030,Transportation and material moving,128956.699602
437,air traffic controllers and airfield operations specialists,9040,Transportation and material moving,35627.0938978
438,flight attendants,9050,Transportation and material moving,76396.7374978
439,"ambulance drivers and attendants, except emergency medical technicians",9110,Transportation and material moving,16711.6667652
440,bus drivers,9120,Transportation and material moving,563131.507166
441,driver/sales workers and truck drivers,9130,Transportation and material moving,3231680.38021
442,taxi drivers and chauffeurs,9140,Transportation and material moving,392890.997912
443,locomotive engineers and operators,9200,Transportation and material moving,50264.0818685
444,"subway, streetcar, and other rail transportation workers",9260,Transportation and material moving,12450.2047674
445,railroad conductors and yardmasters,9240,Transportation and material moving,56523.8515831
446,"sailors and marine oilers, and ship engineers",9300,Transportation and material moving,24300.5919247
447,ship and boat captains and operators,9310,Transportation and material moving,37366.9941258
448,"miscellaneous transportation workers, including bridge and lock tenders and traffic technicians",9420,Transportation and material moving,27572.875536
449,parking lot attendants,9350,Transportation and material moving,81397.3128685
450,automotive and watercraft service attendants   ,9360,Transportation and material moving,88120.1798854
451,transportation inspectors,9410,Transportation and material moving,37399.9000888
452,"transportation attendants, except flight attendants",9415,Transportation and material moving,28848.4331831
453,"conveyor operators and tenders, and hoist and winch operators",9560,Transportation and material moving,9236.08158202
454,crane and tower operators,9510,Transportation and material moving,64317.9002831
455,"dredge, excavating, and loading machine operators",9520,Transportation and material moving,41549.9203022
456,industrial truck and tractor operators,9600,Transportation and material moving,546057.7567
457,cleaners of vehicles and equipment,9610,Transportation and material moving,330037.385389
458,"laborers and freight, stock, and material movers, hand",9620,Transportation and material moving,1790924.91292
459,machine feeders and offbearers,9630,Transportation and material moving,27976.6665719
460,"packers and packagers, hand",9640,Transportation and material moving,462308.87841
461,pumping station operators,9650,Transportation and material moving,23497.1115742
462,refuse and recyclable material collectors,9720,Transportation and material moving,94162.1771697
463,"miscellaneous material moving workers, including mine shuttle car operators, and tank car, truck, and ship loaders",9750,Transportation and material moving,52986.3171449
